Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,24,$29.94,$0.00,$0.00,8%,1%,0%
Online Discount,20,-$187.01,$0.00,$0.00,7%,-5%,0%
Garlic Bread,18,$75.00,$6.80,$25.56,6%,2%,66%
Regular Margherita,16,$92.70,$8.43,$19.68,6%,3%,79%
Large Super House Special,10,$197.60,$17.99,$77.21,3%,5%,61%
Regular Hawaiian,9,$176.70,$16.05,$11.23,3%,5%,94%
Large Margherita,8,$91.60,$8.34,$18.38,3%,3%,80%
Large Pepperoni,8,$135.60,$12.34,$36.52,3%,4%,73%
Regular Super House Special,6,$135.80,$12.34,$33.17,2%,4%,76%
Large Meatlovers,6,$138.60,$12.62,$41.74,2%,4%,70%
Large Hawaiian,6,$95.80,$8.72,$19.58,2%,3%,80%
Regular Little Italy [Dine-in],5,$133.40,$12.12,$24.02,2%,4%,82%
Regular BBQ Chicken Pizza,5,$116.90,$10.64,$14.93,2%,3%,87%
"Large No Chorizo, No Cry",4,$54.71,$4.98,$22.39,1%,1%,59%
Regular Pepperoni,4,$80.90,$7.35,$8.51,1%,2%,89%
Large Little Italy,4,$26.90,$2.45,$35.35,1%,1%,-31%
Large BBQ Chicken Pizza,4,$55.40,$5.03,$16.68,1%,2%,70%
Large Bubba Gump,4,$85.80,$7.81,$22.13,1%,2%,74%
Regular Uber Margherita,4,$81.90,$7.45,$12.77,1%,2%,84%
Coke Zero 1.25L,4,$4.81,$0.44,$13.16,1%,0%,-174%
Regular New Yorker [Dine-in],3,$74.37,$6.78,$10.76,1%,2%,86%
Regular Meatlovers,3,$69.90,$6.35,$14.94,1%,2%,79%
Regular Sanchez,3,$64.80,$5.89,$10.18,1%,2%,84%
Large Cosmopolitan,3,$32.00,$2.91,$19.83,1%,1%,38%
Add Prawns,3,$8.00,$0.72,$0.00,1%,0%,0%
Add Pepperoni,3,$9.00,$0.81,$0.00,1%,0%,0%
Regular Jimmy Jury [Dine-in],3,$83.70,$7.59,$10.01,1%,2%,88%
Regular Roma Special,3,$72.00,$6.54,$12.10,1%,2%,83%
Add Jalapenos,3,$4.50,$0.42,$0.00,1%,0%,0%
Add Anchovies,3,$4.00,$0.36,$0.00,1%,0%,0%
Regular Vegetarian,2,$31.80,$2.90,$4.74,1%,1%,85%
Regular Truffalo Soldier,2,$39.80,$3.62,$6.54,1%,1%,84%
Regular El Patron [Dine-in],2,$53.70,$4.87,$7.28,1%,1%,86%
Regular Cosmopolitan,2,$39.80,$3.62,$9.47,1%,1%,76%
Large New Yorker,2,$54.90,$4.99,$10.02,1%,1%,82%
Large Jimmy Jury,2,$56.90,$5.18,$12.37,1%,2%,78%
Add Capsicum,2,$3.00,$0.28,$0.00,1%,0%,0%
Add Rocket,2,$3.05,$0.29,$0.00,1%,0%,0%
Regular Hail Africa [Dine-in],2,$54.93,$4.98,$5.82,1%,1%,89%
Add Chilli,2,$2.00,$0.18,$0.00,1%,0%,0%
Family Super House Special,2,$59.80,$5.44,$0.00,1%,2%,0%
Large Sorrento,2,$53.80,$4.90,$14.34,1%,1%,73%
Regular Paddock,2,$39.80,$3.62,$6.20,1%,1%,84%
Large Paddock,2,$53.80,$4.90,$10.21,1%,1%,81%
Coke Zero Can,2,$8.00,$0.72,$3.78,1%,0%,53%
$60 BANQUET,2,$120.00,$10.90,$0.00,1%,3%,0%
Add Pineapple,2,$3.00,$0.28,$0.00,1%,0%,0%
Regular New Yorker,2,$42.90,$3.90,$7.17,1%,1%,83%
Add Bocconcini,2,$6.00,$0.54,$0.00,1%,0%,0%
Large Sanchez VEGAN,2,$53.80,$4.90,$8.44,1%,1%,84%
Coke 1.25L,2,$14.00,$1.28,$7.38,1%,0%,47%
Under the Bridge Pizza,2,$53.70,$4.87,$8.16,1%,1%,85%
WINGS DEAL,2,$60.00,$5.46,$0.00,1%,2%,0%
Add Mushrooms,2,$3.00,$0.28,$0.00,1%,0%,0%
