,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Vodka,19,Stowaway Bar,2026-08-06,,$12.73,$14.00
2,Non-alcoholic,19,Stowaway Bar,2026-08-06,,$15.92,$17.50
3,Tap Beer,19,Stowaway Bar,2026-08-06,,$213.15,$234.50
4,Tap Beer,20,Stowaway Bar,2026-08-06,,$246.41,$271.00
5,White Wine,19,Stowaway Bar,2026-08-06,,$156.38,$172.00
6,Rose Wine,19,Stowaway Bar,2026-08-06,,$14.55,$16.00
7,Marilyna's Pizza,21,Stowaway Bar,2026-08-06,,$104.63,$115.10
8,Cocktails - Classic,19,Stowaway Bar,2026-08-06,,$81.85,$90.00
9,White Wine,16,Stowaway Bar,2026-08-06,,$119.97,$132.00
10,Marilyna's Pizza,18,Stowaway Bar,2026-08-06,,$395.07,$434.60
11,Marilyna's Pizza,20,Stowaway Bar,2026-08-06,,$134.17,$147.60
12,Marilyna's Pizza,16,Stowaway Bar,2026-08-06,,$35.27,$38.80
13,Small Plates,17,Stowaway Bar,2026-08-06,,$62.46,$68.70
14,Sparkling Wine,17,Stowaway Bar,2026-08-06,,$25.46,$28.00
15,Cocktails - Signature,18,Stowaway Bar,2026-08-06,,$95.47,$105.00
16,Cocktails - Signature,21,Stowaway Bar,2026-08-06,,$13.64,$15.00
17,Delivery Alcohol,21,Stowaway Bar,2026-08-06,,$7.27,$8.00
18,Small Plates,19,Stowaway Bar,2026-08-06,,$79.90,$87.90
19,Kids Meals,16,Stowaway Bar,2026-08-06,,$23.64,$26.00
20,Tap Beer,18,Stowaway Bar,2026-08-06,,$227.74,$250.50
21,None,16,Stowaway Bar,2026-08-06,,$0.00,$0.00
22,Dine-in Pizza,19,Stowaway Bar,2026-08-06,,$134.57,$148.00
23,Dine-in Pizza,20,Stowaway Bar,2026-08-06,,$45.46,$50.00
24,Tap Beer,21,Stowaway Bar,2026-08-06,,$98.09,$107.90
25,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-08-06,,$9.55,$10.50
26,Sparkling Wine,19,Stowaway Bar,2026-08-06,,$129.09,$142.00
27,Big Plates,19,Stowaway Bar,2026-08-06,,$131.52,$144.70
28,Kids Meals,17,Stowaway Bar,2026-08-06,,$16.37,$18.00
29,Modifiers,17,Stowaway Bar,2026-08-06,,$0.00,$0.00
30,Delivery Kitchen,18,Stowaway Bar,2026-08-06,,$98.20,$108.00
31,None,17,Stowaway Bar,2026-08-06,,$7.27,$8.00
32,Red Wine,20,Stowaway Bar,2026-08-06,,$13.64,$15.00
33,Cocktails - Classic,16,Stowaway Bar,2026-08-06,,$63.65,$70.00
34,Red Wine,16,Stowaway Bar,2026-08-06,,$19.08,$21.00
35,Small Plates,16,Stowaway Bar,2026-08-06,,$23.55,$25.90
36,Cocktails - Classic,21,Stowaway Bar,2026-08-06,,$90.02,$99.00
37,Pet Nat Wine,18,Stowaway Bar,2026-08-06,,$14.55,$16.00
38,Red Wine,21,Stowaway Bar,2026-08-06,,$54.55,$60.00
39,White Wine,18,Stowaway Bar,2026-08-06,,$265.49,$292.00
40,Marilyna's Pizza,17,Stowaway Bar,2026-08-06,,$116.18,$127.80
41,Delivery Kitchen,17,Stowaway Bar,2026-08-06,,$61.83,$68.00
42,Cocktails - Classic,18,Stowaway Bar,2026-08-06,,$162.76,$179.00
43,Dine-in Pizza,18,Stowaway Bar,2026-08-06,,$322.77,$355.00
44,Whisky,18,Stowaway Bar,2026-08-06,,$43.64,$48.00
45,Add-ons - Kitchen,16,Stowaway Bar,2026-08-06,,$1.82,$2.00
46,Sides,18,Stowaway Bar,2026-08-06,,$9.09,$10.00
47,Desserts,18,Stowaway Bar,2026-08-06,,$14.54,$16.00
48,Cocktails - Classic,20,Stowaway Bar,2026-08-06,,$70.02,$77.00
49,Sparkling Wine,18,Stowaway Bar,2026-08-06,,$161.83,$178.00
50,Non-alcoholic,20,Stowaway Bar,2026-08-06,,$8.18,$9.00
51,Non-alcoholic,18,Stowaway Bar,2026-08-06,,$4.08,$4.50
52,Marilyna's Soft Drinks,17,Stowaway Bar,2026-08-06,,$6.36,$7.00
53,Rose Wine,20,Stowaway Bar,2026-08-06,,$14.55,$16.00
54,Rose Wine,18,Stowaway Bar,2026-08-06,,$29.10,$32.00
55,Add-ons - Kitchen,17,Stowaway Bar,2026-08-06,,$1.36,$1.50
56,Red Wine,19,Stowaway Bar,2026-08-06,,$112.75,$124.00
57,Red Wine,18,Stowaway Bar,2026-08-06,,$190.95,$210.00
58,Kitchen Specials,18,Stowaway Bar,2026-08-06,,$36.27,$39.90
59,Kitchen Specials,16,Stowaway Bar,2026-08-06,,$36.27,$39.90
60,Liqueurs,21,Stowaway Bar,2026-08-06,,$40.00,$44.00
61,Tap Beer,16,Stowaway Bar,2026-08-06,,$215.40,$237.00
62,Small Plates,18,Stowaway Bar,2026-08-06,,$258.46,$284.30
63,Marilyna's Soft Drinks,18,Stowaway Bar,2026-08-06,,$10.91,$12.00
64,White Wine,17,Stowaway Bar,2026-08-06,,$215.47,$237.00
65,Add-ons - Kitchen,19,Stowaway Bar,2026-08-06,,$7.72,$8.50
66,None,18,Stowaway Bar,2026-08-06,,$0.00,$0.00
67,None,20,Stowaway Bar,2026-08-06,,$0.00,$0.00
68,Cocktails - Signature,20,Stowaway Bar,2026-08-06,,$33.64,$37.00
69,Rose Wine,16,Stowaway Bar,2026-08-06,,$12.72,$14.00
70,Small Plates,20,Stowaway Bar,2026-08-06,,$160.27,$176.30
71,Cocktails - Classic,17,Stowaway Bar,2026-08-06,,$200.02,$220.00
72,Vodka,17,Stowaway Bar,2026-08-06,,$20.00,$22.00
73,Non-alcoholic,17,Stowaway Bar,2026-08-06,,$9.10,$10.00
74,Tap Beer,17,Stowaway Bar,2026-08-06,,$263.66,$290.00
75,Rose Wine,17,Stowaway Bar,2026-08-06,,$25.46,$28.00
76,Add-ons - Kitchen,18,Stowaway Bar,2026-08-06,,$19.97,$22.00
77,Add-ons - Pizza,16,Stowaway Bar,2026-08-06,,-$16.04,-$15.45
78,Big Plates,18,Stowaway Bar,2026-08-06,,$169.61,$186.60
79,Add-ons - Pizza,20,Stowaway Bar,2026-08-06,,-$27.29,-$27.29
80,Bottles / Cans Alcoholic,17,Stowaway Bar,2026-08-06,,$23.64,$26.00
81,Gin,17,Stowaway Bar,2026-08-06,,$10.00,$11.00
82,Marilyna's Pizza,19,Stowaway Bar,2026-08-06,,$238.45,$262.30
83,Add-ons - Pizza,18,Stowaway Bar,2026-08-06,,$13.90,$17.03
84,Add-ons - Pizza,19,Stowaway Bar,2026-08-06,,$1.38,$1.38
85,Big Plates,20,Stowaway Bar,2026-08-06,,$79.08,$87.00
86,Big Plates,16,Stowaway Bar,2026-08-06,,$29.91,$32.90
87,Cocktails - Signature,17,Stowaway Bar,2026-08-06,,$56.37,$62.00
88,Modifiers,18,Stowaway Bar,2026-08-06,,$0.00,$0.00
89,Big Plates,17,Stowaway Bar,2026-08-06,,$88.90,$97.80
90,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-08-06,,$9.56,$10.50
