Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Regular Little Italy [Dine-in],4,$26.85,$2.44,$19.22,11%,6%,28%
Regular Jimmy Jury [Dine-in],3,$0.00,$0.00,$10.01,8%,0%,
Regular Sanchez [Dine-in],2,$52.00,$4.72,$6.79,5%,11%,87%
Online Surcharge,2,$1.85,$0.00,$0.00,5%,0%,0%
Coke Zero 1.25L,2,$12.00,$1.10,$6.58,5%,3%,45%
Delivery Fee - Freshwater / Queenscliff,2,$10.00,$0.90,$0.00,5%,2%,0%
Large Tandoori Chicken,1,$25.00,$2.27,$3.21,3%,5%,87%
Large New Yorker,1,$27.00,$2.45,$5.01,3%,6%,81%
$45 FEAST,1,$45.00,$4.09,$0.00,3%,10%,0%
Regular El Patron [Dine-in],1,$26.00,$2.36,$3.64,3%,6%,86%
Regular Margherita,1,$14.00,$1.27,$1.23,3%,3%,91%
Large Bubba Gump Wings Deal,1,$30.00,$2.73,$5.53,3%,6%,82%
Regular Pepperoni,1,$22.00,$2.00,$2.13,3%,5%,90%
Large Margherita,1,$0.00,$0.00,$2.30,3%,0%,
Add Chilli,1,$1.00,$0.09,$0.00,3%,0%,0%
Cheesy Garlic Bread,1,$6.00,$0.55,$1.77,3%,1%,70%
Coke Can,1,$4.00,$0.36,$1.89,3%,1%,53%
Regular BBQ Chicken Pizza,1,$24.50,$2.23,$2.99,3%,5%,88%
BBQ Wings [Wings Deal],1,$0.00,$0.00,$0.00,3%,0%,0%
Large Pepperoni,1,$0.00,$0.00,$4.56,3%,0%,
Gluten-free El Patron [Dine-in],1,$31.00,$2.82,$8.63,3%,7%,72%
Regular Uber Margherita [Dine-in],1,$23.00,$2.09,$3.19,3%,5%,86%
Add Calabrese,1,$4.00,$0.36,$0.00,3%,1%,0%
Gluten-free Bubba Gump,1,$25.00,$2.27,$8.40,3%,5%,66%
Regular Bubba Gump,1,$20.00,$1.82,$3.96,3%,4%,80%
Solo 1.25L,1,$7.00,$0.64,$2.03,3%,2%,71%
Garlic Bread,1,$0.00,$0.00,$1.42,3%,0%,
Less Cheese,1,$0.00,$0.00,$0.00,3%,0%,0%
Regular Truffalo Soldier [Dine-in],1,$26.00,$2.36,$3.27,3%,6%,87%
,38,$463.20,$41.92,$107.75,100%,100%,77%
