purchasable_id,ingredient_id,confirmed_by,note
fresh-fruit-team:OSKG,lightspeed:22995945,zak (batched identity review 2026-08-16),fresh-fruit-team:OSKG -> Onion Spanish [10kg]
ilg:115-1844,lightspeed:20445705,zak (batched identity review 2026-08-16),ilg:115-1844 -> Asahi 3.5%
ilg:115-3762,lightspeed:20445701,zak (batched identity review 2026-08-16),ilg:115-3762 -> Corona
ilg:117-4213,lightspeed:20445707,zak (batched identity review 2026-08-16),ilg:117-4213 -> Heaps Normal Tin
ilg:175-0420,lightspeed:20484285,zak (batched identity review 2026-08-16),ilg:175-0420 -> Antica Formula Rosso Vermouth [Bottle]
ilg:285-0132P,lightspeed:20487294,zak (batched identity review 2026-08-16),ilg:285-0132P -> Four Pillars Rare Dry [Bottle]
ilg:285-1480,lightspeed:20487289,zak (batched identity review 2026-08-16),ilg:285-1480 -> Four Pillars Olive Leaf [Bottle]
ilg:295-3922,lightspeed:20492751,zak (batched identity review 2026-08-16),ilg:295-3922 -> Yamazaki 12yr [Bottle]
ilg:300-0219,lightspeed:20487836,zak (batched identity review 2026-08-16),ilg:300-0219 -> Monkey Shoulder Scotch [Bottle]
ilg:300-0219P,lightspeed:20487836,zak (batched identity review 2026-08-16),ilg:300-0219P -> Monkey Shoulder Scotch [Bottle]
ilg:300-1726,lightspeed:20487567,zak (batched identity review 2026-08-16),ilg:300-1726 -> Macallan Sherry Oak 12yr [Bottle]
ilg:300-6507P,lightspeed:20487534,zak (batched identity review 2026-08-16),ilg:300-6507P -> Lagavulin 16yr [Bottle]
ilg:305-1949P,lightspeed:20484751,zak (batched identity review 2026-08-16),ilg:305-1949P -> Buffalo Trace Bourbon [Bottle]
ilg:345-0401,lightspeed:20487949,zak (batched identity review 2026-08-16),ilg:345-0401 -> Appleton Rum [Bottle]
ilg:345-5638P,lightspeed:20484932,zak (batched identity review 2026-08-16),ilg:345-5638P -> Sailor Jerry [700ml]
ilg:360-1310,lightspeed:20483410,zak (batched identity review 2026-08-16),ilg:360-1310 -> Rooster Rojo Blanco Tequila [Bottle]
ilg:360-1524P,lightspeed:20484243,zak (batched identity review 2026-08-16),ilg:360-1524P -> 1800 Coconut [Bottle]
ilg:360-2514,lightspeed:20487484,zak (batched identity review 2026-08-16),ilg:360-2514 -> Herradura Plata [Bottle]
ilg:360-3194P,lightspeed:20487923,zak (batched identity review 2026-08-16),ilg:360-3194P -> Patron Reposado [Bottle]
ilg:395-6785P,lightspeed:20484286,zak (batched identity review 2026-08-16),ilg:395-6785P -> Aperol [Bottle]
ilg:405-0957,lightspeed:20487788,zak (batched identity review 2026-08-16),ilg:405-0957 -> Mr Black Coffee Liqueur [Bottle]
