purchasable_id,candidate_ingredient,product_name,venue
b-e:31254,lightspeed:22888658,Pepper White Ground 500g Galaxy,stowaway
b-e:31254,lightspeed:22898078,Pepper White Ground Galaxy [500g],stowaway
b-e:31254,lightspeed:22962978,White Pepper,harry_gatos
barrel-one:BOCC750-6,lightspeed:20484935,Barrel One Coffee Concentrate [Bottle],harry_gatos
barrel-one:BOCC750-6,lightspeed:20750115,Barrel One Coffee Concentrate,harry_gatos
foodlink:100827,lightspeed:22888632,Coriander Ground 400g Chefs Choice,stowaway
foodlink:100827,lightspeed:22975376,Coriander Ground 500Gm Chefs Choice,stowaway
foodlink:101313,lightspeed:22888642,Honey Pure 3kg Wild Flower,harry_gatos
foodlink:101313,lightspeed:22902953,Honey [kg],stowaway
fresh-fruit-team:KITDSKG,lightspeed:22510270,Slaw,stowaway
fresh-fruit-team:KITDSKG,lightspeed:22995937,Dry Slaw [kg],marilynas
fresh-fruit-team:OS10BG,lightspeed:20445597,Spanish Onion [10Kg],stowaway
fresh-fruit-team:OS10BG,lightspeed:22995945,Onion Spanish [10kg],stowaway
