ProductID,ProductNo,ProductName,DocketName,Barcode,SKU,Unit,DefaultSize,SellPriceIncTax,SellTaxCode,CostPriceIncTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup,FriendlyName,ShowOnline,OnlineDescription,InventoryType,PurchaseFormat,PurchaseQty,Container,VariableQtyPrompt
21663708,,"1x Egg",,,,unit,1,2.5,GST,0.0000,GST,1,1,,,,,,,"Add-ons - Kitchen [Harrys]",,1,,1,Individual,1,UNIT,
22898077,,"Bamboo Shoot Sliced A10 [2.84kg]",,,,kg,2.84,0,FRE,8.1500,FRE,0,1,,,0,1,1,,,,1,,1,Individual,1,UNIT,
22918960,,"Beef Cantonese [kg]",,,,kg,1,0,FRE,19.8500,FRE,0,1,,,0,1,1,,,,,,1,Individual,1,UNIT,
20744688,,"Calle 23 Blanco Tequila [Bottle]",,,,ml,700,0,GST,72.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
21420361,,"Chashu Pork Belly Prep",,,,g,5000,0,GST,0.0000,GST,1,1,,,,,,,,,1,,,,,UNIT,
20750156,,"Hartshorn Sheep Whey Vodka [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22996458,,"Mayonnaise Smokey Chipotle Plant Based Vegan 1LT Birch & Waite",,,107147,unit,1,0,FRE,18.0000,FRE,0,1,,,1,0,0,,,,1,,,Individual,1,UNIT,
22645510,,"No Capsicum",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
22645535,,"No Jalapenos",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
20702600,,"Pepsi Glass",,,,unit,1,4.5,GST,1.3100,GST,0,1,,NON-ALC,0,,,,"Non-Alcoholic [Harrys]",,1,,,,,UNIT,
22995385,,"Beef Brisket Diced 3x3cm [5kg]",,,28294,unit,1,0,FRE,82.5000,FRE,0,0,,,0,1,1,,,,,,1,Individual,1,UNIT,
23173450,,"Extra Chicken.",,,,unit,1,4,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
23173454,,"GFO [GF Ramen Noodles]",,,,unit,1,3,GST,0.0000,GST,1,1,,,,,,,"Add-ons - Kitchen [Harrys]",,1,,1,Individual,1,UNIT,
20750171,,"Michter's Bourbon [Bottle]",,,,ml,700,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
22992389,,"Rice Vermicelli Noodles [1.5KG]",,,,unit,1,0,FRE,8.6000,FRE,0,1,,,,1,1,,,,1,,1,Individual,1,UNIT,
20745353,,"Vermouth Blend [Bottle]",,,,ml,1000,0,GST,0.0000,GST,0,1,"stock,stock-spirit",,0,,,,,,1,,,,,BOTTLE,
