supplier,supplier_code,invoice_description,lightspeed_product,cost_per_unit_incl_gst,basis,pack_size,pack_qty,pack_unit,cost_per_base_unit,venue,source_invoice,invoice_date,in_bounds,note
Lightspeed,20445700,Peroni,Peroni,2.5217,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445700
Lightspeed,20445701,Corona,Corona,2.5713,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445701
Lightspeed,20445702,Better Beer Tin,Better Beer Tin,2.3800,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445702
Lightspeed,20445703,Two Bays Pale Ale Can,Two Bays Pale Ale Can,4.7100,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445703
Lightspeed,20445704,VB Tinnie,VB Tinnie,1.9600,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445704
Lightspeed,20445705,Asahi 3.5%,Asahi 3.5%,2.1800,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445705
Lightspeed,20445706,James Boags Light,James Boags Light,2.3400,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445706
Lightspeed,20445707,Heaps Normal Tin,Heaps Normal Tin,2.6696,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445707
Lightspeed,20445708,Grifter Pink Galah Tin,Grifter Pink Galah Tin,3.1900,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445708
Lightspeed,20445709,Grifter Big Sur IPA Tin,Grifter Big Sur IPA Tin,4.0000,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445709
Lightspeed,20445710,Grifter Omen Stout Tin,Grifter Omen Stout Tin,3.1900,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445710
Lightspeed,20445713,Young Henrys Cloudy Cider Can,Young Henrys Cloudy Cider Can,2.5800,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445713
Lightspeed,20445714,Monteith's Apple Cider Bottle,Monteith's Apple Cider Bottle,3.1100,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 20445714
Lightspeed,20445737,Dom Pérignon Champagne 750ML,Dom Pérignon Champagne,332.5500,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20445737
Lightspeed,20445892,Stow Vermouth Blend 700ML,Stow Vermouth Blend,41.3400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20445892
