ingredient,observed_on,cost_per_unit,unit,venue,source_invoice,pack,description
andrews-meat:1069K,2026-04-24,0.019850,g,harry_gatos,INV3355738,per kg (invoice),BEEF CANTONESE
andrews-meat:1541K,2026-04-23,0.017000,g,stowaway,INV3354394,per kg (invoice),BEEF OSSO BUCCO
andrews-meat:1890K,2026-04-10,0.025000,g,harry_gatos,INV3345074,per kg (invoice),BEEF TOPSIDE WAGYU MB8+
andrews-meat:1890K,2026-04-18,0.025000,g,stowaway,INV3351230,per kg (invoice),BEEF TOPSIDE WAGYU MB8+
andrews-meat:1890K,2026-04-23,0.025000,g,harry_gatos,INV3354334,per kg (invoice),BEEF TOPSIDE WAGYU MB8+
andrews-meat:1890K,2026-05-07,0.025000,g,harry_gatos,INV3364687,per kg (invoice),BEEF TOPSIDE WAGYU MB8+
andrews-meat:1890K,2026-05-22,0.025000,g,harry_gatos,INV3376750,per kg (invoice),BEEF TOPSIDE WAGYU MB8+
andrews-meat:1890K,2026-06-02,0.025000,g,harry_gatos,INV3384521,per kg (invoice),BEEF TOPSIDE WAGYU MB8+
andrews-meat:1890K,2026-06-25,0.025000,g,harry_gatos,INV3401843,per kg (invoice),BEEF TOPSIDE WAGYU MB8+
andrews-meat:1890K,2026-07-11,0.025000,g,harry_gatos,INV3413956,per kg (invoice),BEEF TOPSIDE WAGYU MB8+
andrews-meat:1896K,2026-04-10,0.041000,g,harry_gatos,INV3345074,per kg (invoice),BEEF TOP SIRLOIN GRAINGE SILVER MSA 200G (5PK)
andrews-meat:2836K,2026-05-02,0.042800,g,stowaway,INV3361027,per kg (invoice),LAMB RUMP 100% DENUDED 220-250G (5/PK)
andrews-meat:3000K,2026-04-10,0.002500,g,harry_gatos,INV3345074,per kg (invoice),PORK BONES FROZEN (15-20KG CTN)
andrews-meat:3000K,2026-04-23,0.002500,g,harry_gatos,INV3354334,per kg (invoice),PORK BONES FROZEN (15-20KG CTN)
andrews-meat:3000K,2026-05-07,0.002500,g,harry_gatos,INV3364687,per kg (invoice),PORK BONES FROZEN (15-20KG CTN)
andrews-meat:3002K,2026-04-23,0.012000,g,harry_gatos,INV3354334,per kg (invoice),PORK MINCE BACK FAT FROZEN
andrews-meat:3002K,2026-05-07,0.012000,g,harry_gatos,INV3364687,per kg (invoice),PORK MINCE BACK FAT FROZEN
andrews-meat:3090K,2026-04-10,0.004000,g,harry_gatos,INV3345074,per kg (invoice),PORK SKIN FROZEN
andrews-meat:3090K,2026-04-23,0.004000,g,harry_gatos,INV3354334,per kg (invoice),PORK SKIN FROZEN
andrews-meat:3090K,2026-05-07,0.004000,g,harry_gatos,INV3364687,per kg (invoice),PORK SKIN FROZEN
andrews-meat:3093K,2026-04-25,0.015000,g,harry_gatos,INV3356632,per kg (invoice),PORK CANTONESE LEG
andrews-meat:3095K,2026-06-02,0.024000,g,harry_gatos,INV3384521,per kg (invoice),PORK BELLY BONELESS S/ON
andrews-meat:5036K,2026-04-25,0.019400,g,stowaway,INV3356670,per kg (invoice),CHICKEN THIGH FILLET S/ON (5KG)
andrews-meat:5039K,2026-04-18,0.012650,g,stowaway,INV3351230,per kg (invoice),CHICKEN WINGETTE (MID WING) (2KG)
andrews-meat:6087P,2026-04-17,0.050000,g,stowaway,INV3350197,500g,PROSCIUTTO SLICED 500G
andrews-meat:8059K,2026-04-18,0.023600,g,stowaway,INV3351230,per kg (invoice),PORK BELLY S/ON COOKED
aquarius:APDW31,2025-10-30,175.00,box,marilynas,184463,per box (invoice),White Prawn Meat 31/40
b-e:10089,2026-04-16,0.010400,g,stowaway,6548996,2.5kg,VEGE - COLESLAW 2.5kg BAG
b-e:10089,2026-06-20,0.010400,g,stowaway,6845979,2.5kg,VEGE - COLESLAW 2.5kg BAG
b-e:10221,2026-05-14,0.025700,g,stowaway,6675572,1kg,CHEESE - GREEK FETTA 1KG
b-e:10228,2026-05-04,0.011600,g,stowaway,6623077,per kg (invoice),CHICKEN 1/2 BREAST (F)
b-e:10228,2026-06-01,0.011600,g,stowaway,6751391,per kg (invoice),CHICKEN 1/2 BREAST (F)
b-e:10228,2026-06-10,0.011600,g,stowaway,6784392,per kg (invoice),CHICKEN 1/2 BREAST (F)
b-e:10228,2026-06-24,0.011600,g,stowaway,6847091,per kg (invoice),CHICKEN 1/2 BREAST (F)
b-e:10228,2026-07-11,0.011600,g,stowaway,6944875,per kg (invoice),CHICKEN 1/2 BREAST (F)
b-e:10228,2026-07-17,0.011600,g,stowaway,6975411,per kg (invoice),CHICKEN 1/2 BREAST (F)
b-e:10228,2026-07-24,0.011600,g,stowaway,7007301,per kg (invoice),CHICKEN 1/2 BREAST (F)
b-e:10258,2026-03-26,0.014800,g,stowaway,6460344,per kg (invoice),CHICKEN THIGH (F) S/OFF
b-e:10258,2026-04-04,0.014800,g,stowaway,6498790,per kg (invoice),CHICKEN THIGH (F) S/OFF
b-e:10258,2026-04-22,0.014800,g,stowaway,6569830,per kg (invoice),CHICKEN THIGH (F) S/OFF
b-e:10258,2026-05-02,0.014800,g,stowaway,6621575,per kg (invoice),CHICKEN THIGH (F) S/OFF
b-e:10258,2026-05-18,0.014800,g,stowaway,6691897,per kg (invoice),CHICKEN THIGH (F) S/OFF
b-e:10258,2026-06-09,0.014800,g,stowaway,6785844,per kg (invoice),CHICKEN THIGH (F) S/OFF
b-e:10258,2026-06-15,0.014800,g,stowaway,6818516,per kg (invoice),CHICKEN THIGH (F) S/OFF
b-e:10258,2026-07-01,0.014800,g,stowaway,6884307,per kg (invoice),CHICKEN THIGH (F) S/OFF
b-e:10258,2026-07-01,0.014800,g,stowaway,6889760,per kg (invoice),CHICKEN THIGH (F) S/OFF
b-e:10258,2026-07-13,0.014800,g,stowaway,6949092,per kg (invoice),CHICKEN THIGH (F) S/OFF
