Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Regular Little Italy [Dine-in],12,$220.17,$20.05,$57.65,13%,15%,74%
Regular Hail Africa [Dine-in],6,$106.77,$9.72,$17.47,6%,7%,84%
Regular New Yorker [Dine-in],5,$88.21,$8.03,$17.93,5%,6%,80%
Regular Jimmy Jury [Dine-in],4,$73.77,$6.72,$13.34,4%,5%,82%
"Regular No Chorizo, No Cry [Dine-in]",4,$73.77,$6.72,$10.01,4%,5%,86%
Regular Sanchez [Dine-in],3,$44.38,$4.04,$10.18,3%,3%,77%
Regular Uber Margherita [Dine-in],3,$55.76,$5.07,$9.58,3%,4%,83%
Regular Bubba Gump [Dine-in],3,$55.20,$5.02,$11.89,3%,4%,78%
Coke 1.25L,2,$13.00,$1.19,$7.38,2%,1%,43%
Regular Meatlovers [Dine-in],2,$36.59,$3.33,$9.96,2%,2%,73%
Regular Vegetarian,2,$37.00,$3.36,$4.74,2%,3%,87%
Regular Cosmopolitan [Dine-in],2,$34.20,$3.12,$9.47,2%,2%,72%
Online Surcharge,2,$2.41,$0.00,$0.00,2%,0%,0%
Regular Truffalo Soldier [Dine-in],2,$37.19,$3.38,$6.54,2%,3%,82%
Regular Pepperoni [Dine-in],2,$36.59,$3.33,$0.00,2%,2%,0%
Regular El Patron [Dine-in],2,$36.00,$3.28,$7.28,2%,2%,80%
Regular The Paddock [Dine-in],2,$37.18,$3.38,$6.20,2%,3%,83%
Regular Sorrento [Dine-in],2,$37.18,$3.38,$8.21,2%,3%,78%
Regular Sanchez VEGAN [Dine-in],2,$37.18,$3.37,$6.04,2%,3%,84%
Regular Tandoori Chicken [Dine-in],2,$37.18,$3.39,$4.60,2%,3%,88%
Gluten-free Base,2,$10.34,$0.94,$8.20,2%,1%,21%
Regular Hawaiian [Dine-in],2,$37.20,$3.39,$2.49,2%,3%,93%
Garlic Bread,2,$5.00,$0.45,$2.84,2%,0%,43%
Large Super House Special,2,$58.00,$5.28,$15.44,2%,4%,73%
Add Anchovies,2,$3.80,$0.34,$0.00,2%,0%,0%
Axl Rose Pizza,2,$37.18,$3.39,$0.00,2%,3%,0%
Garlic  Bread.,1,$0.00,$0.00,$0.00,1%,0%,0%
Regular Truffalo Soldier,1,$24.00,$2.18,$3.27,1%,2%,86%
Add Chilli,1,$1.00,$0.09,$0.00,1%,0%,0%
Regular BBQ Chicken Pizza,1,$19.50,$1.77,$2.99,1%,1%,85%
Regular Pepperoni,1,$22.00,$2.00,$2.13,1%,2%,90%
Large Sanchez Wings Deal,1,$30.00,$2.73,$5.49,1%,2%,82%
Regular Roma Special [Dine-in],1,$18.00,$1.64,$4.03,1%,1%,78%
Vegan Cheese [Pizza],1,$3.00,$0.27,$0.00,1%,0%,0%
Regular Super House Special [Dine-in],1,$18.59,$1.69,$5.53,1%,1%,70%
Less Cheese,1,$0.00,$0.00,$0.00,1%,0%,0%
BBQ Wings [Wings Deal],1,$0.00,$0.00,$0.00,1%,0%,0%
Regular Little Italy,1,$19.50,$1.77,$4.80,1%,1%,75%
Add Basil,1,$1.03,$0.09,$0.00,1%,0%,0%
Add Jalapenos,1,$1.55,$0.15,$0.00,1%,0%,0%
Add Calabrese,1,$4.00,$0.36,$0.00,1%,0%,0%
Btl Villa Fresco Sangiovese D,1,$25.00,$2.27,$12.06,1%,2%,52%
Add Prosciutto,1,$4.13,$0.37,$0.00,1%,0%,0%
Add Olives,1,$1.55,$0.14,$0.00,1%,0%,0%
Under the Bridge Pizza,1,$20.47,$1.86,$4.08,1%,1%,80%
Add Mushrooms,1,$1.55,$0.14,$0.00,1%,0%,0%
,96,"$1,466.12",$133.19,$291.83,100%,100%,80%
