Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Dumplings - Prawn Har Gow [GF],15,$282.00,$25.67,$66.21,5%,6%,77%
Chicken Karaage,13,$221.00,$20.15,$0.00,5%,5%,0%
Devon's Prawn Toast,12,$192.00,$17.41,$46.66,4%,4%,76%
Fried Rice,12,$279.00,$25.35,$32.16,4%,6%,88%
Mie Goreng,11,$256.00,$23.26,$35.01,4%,6%,86%
Duck Spring Roll,10,$160.00,$14.50,$35.72,3%,4%,78%
Shredded Beef,10,$260.00,$23.60,$0.00,3%,6%,0%
Dumplings - Veg Gyoza,10,$139.00,$12.61,$19.61,3%,3%,86%
Harry's Lager - Schooner,9,$78.00,$7.09,$14.15,3%,2%,82%
Chicken,9,$34.50,$3.12,$0.00,3%,1%,0%
Popcorn Cauliflower,9,$132.00,$11.97,$8.81,3%,3%,93%
Edamame,8,$88.00,$8.00,$0.00,3%,2%,0%
Dumplings - Beef & Cabbage,8,$111.00,$10.07,$11.79,3%,2%,89%
BBQ Meat Platter,7,$280.00,$25.47,$0.00,2%,6%,0%
River Retreat Pinot Grigio - Regular,7,$64.00,$5.83,$14.07,2%,1%,78%
Sapporo - 500ml,7,$78.00,$7.10,$25.97,2%,2%,67%
Shoyu,7,$203.00,$18.47,$0.00,2%,4%,0%
Miso,7,$203.00,$18.48,$0.00,2%,4%,0%
Angas & Bremer Grenache - Regular,6,$52.00,$4.74,$10.52,2%,1%,80%
Margato,6,$120.00,$10.93,$23.09,2%,3%,81%
2 Glasses,5,$0.00,$0.00,$0.00,2%,0%,0%
Tonkotsu,5,$145.00,$13.20,$20.82,2%,3%,86%
Harry's Lager - Pint,4,$43.00,$3.92,$8.44,1%,1%,80%
1/2 Marinated Egg,4,$8.00,$0.72,$0.00,1%,0%,0%
Palloncino Prosecco - Regular,3,$36.00,$3.27,$6.90,1%,1%,81%
Tofu,3,$11.50,$1.04,$0.00,1%,0%,0%
Tsingtao Longneck,3,$51.00,$4.65,$14.07,1%,1%,72%
Lemon Chu-hi,3,$36.00,$3.27,$4.56,1%,1%,87%
Chicken Katsu Curry,3,$81.00,$7.35,$8.57,1%,2%,89%
BBQ Pork Buns,3,$45.00,$4.08,$10.50,1%,1%,77%
Carafe Sparkling Water,3,$15.00,$1.35,$0.00,1%,0%,0%
Dragon Juice,3,$51.00,$4.65,$7.78,1%,1%,85%
Padrillos Malbec - Regular,3,$54.00,$4.92,$10.69,1%,1%,80%
Extra Tofu.,2,$8.00,$0.72,$0.00,1%,0%,0%
Jasmine Rice,2,$10.00,$0.90,$0.00,1%,0%,0%
Classic Margarita,2,$28.00,$2.54,$6.54,1%,1%,77%
Pepsi Max Glass,2,$9.00,$0.82,$2.62,1%,0%,71%
Kids Shoyu,2,$26.00,$2.36,$0.00,1%,1%,0%
Sapporo - Schooner,2,$26.00,$2.36,$6.31,1%,1%,76%
Lime,2,$0.00,$0.00,$0.00,1%,0%,0%
Pepsi Glass,2,$9.00,$0.82,$2.62,1%,0%,71%
GFO [GF Ramen Noodles],2,$6.00,$0.54,$0.00,1%,0%,0%
Tonic,2,$0.00,$0.00,$1.61,1%,0%,
Bombay Dry Gin [House],2,$22.00,$2.00,$4.40,1%,0%,80%
Asahi Zero,2,$21.00,$1.90,$4.19,1%,0%,80%
Drunken Koi,2,$42.00,$3.82,$5.31,1%,1%,87%
Demon Slayer,2,$42.00,$3.82,$7.47,1%,1%,82%
Olive,1,$0.00,$0.00,$0.00,0%,0%,0%
Birdseye Chilli Marg,1,$21.00,$1.91,$3.27,0%,0%,84%
L'esprit Rosé - Bottle,1,$64.00,$5.82,$25.22,0%,1%,61%
Dirty,1,$0.00,$0.00,$0.00,0%,0%,0%
Corona,1,$11.00,$1.00,$2.54,0%,0%,77%
Chilli Bomb,1,$2.00,$0.18,$0.00,0%,0%,0%
Lemonade Glass,1,$4.50,$0.41,$0.00,0%,0%,0%
Virgin Margy,1,$13.00,$1.18,$0.00,0%,0%,0%
Remove Black Mushroom,1,$0.00,$0.00,$0.00,0%,0%,0%
From Sundays Shiraz - Regular,1,$15.00,$1.36,$2.80,0%,0%,81%
Yuzu Orange Soda,1,$9.00,$0.82,$0.00,0%,0%,0%
Vodka Martini [HG],1,$19.00,$1.73,$3.01,0%,0%,84%
Seitan Katsu Curry [vegan],1,$27.00,$2.45,$0.90,0%,1%,97%
Fried Egg,1,$4.00,$0.36,$0.00,0%,0%,0%
4 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Nuggets & Chips [HG],1,$13.00,$1.18,$0.00,0%,0%,0%
Ottelia Cab Sav - Regular,1,$18.00,$1.64,$4.73,0%,0%,74%
Angas & Bremer Rosé - Regular,1,$12.00,$1.09,$1.75,0%,0%,85%
Trutta Streamside Shiraz - Regular [HG],1,$16.00,$1.45,$3.61,0%,0%,77%
$50 Gift Voucher,1,$50.00,$4.55,$0.00,0%,1%,0%
From Sundays Shiraz - Bottle,1,$62.00,$5.64,$14.00,0%,1%,77%
Angas & Bremer Grenache - Bottle,1,$49.00,$4.45,$8.77,0%,1%,82%
Extra Piece,1,$4.00,$0.36,$0.00,0%,0%,0%
Lychee Martini,1,$19.00,$1.73,$3.14,0%,0%,83%
Negroni,1,$14.00,$1.27,$4.80,0%,0%,66%
Extra Pork.,1,$5.00,$0.45,$0.00,0%,0%,0%
Remove Butter,1,$0.00,$0.00,$0.00,0%,0%,0%
Kids Fried Rice,1,$13.00,$1.18,$0.00,0%,0%,0%
Swap for Tofu [Make it Vegan],1,$0.00,$0.00,$0.00,0%,0%,0%
Kuku Sauv Blanc - Regular,1,$13.00,$1.18,$2.91,0%,0%,78%
,286,"$4,535.50",$412.23,$558.59,100%,100%,88%
