Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,$2 BBQ Wing,142,9,142.75,1,0,100
2,,Classic Margarita,57,4,837.85,5,0,100
3,,Fresh is Best Lager - Schooner,37,2,310.53,2,61.25,80
4,,American Standard Burger,30,2,517.27,3,0,100
5,,Grey Goose,29,2,349.02,2,74.65,79
6,,No Dipping Sauce,25,2,0,0,0,0
7,,Fresh is Best Lager - Pint,24,2,221.63,1,53.28,76
8,,Espresso Martini,24,2,411.29,2,13.32,97
9,,White Light Pure Vodka [House],24,2,221.51,1,31.86,86
10,,Aioli Dipping Sauce,24,2,0.51,0,0,100
11,,Aperol Spritz,22,1,358.18,2,66.68,81
12,,Garlic Bread,22,1,99.43,1,0,100
13,,Philter XPA - Schooner,18.7,1,156.95,1,40.4,74
14,,Stone & Wood - Schooner,18.7,1,216.66,1,48.77,77
15,,Hill People Oat Cream - Schooner,18.4,1,257.6,1,61.29,76
16,,Philter XPA - Pint,17,1,190.43,1,49.25,74
17,,Stow Spritz,16,1,218.85,1,0,100
18,,Staff Dinner $5,16,1,80,0,0,100
19,,Jalapeño Marg,16,1,339.3,2,0,100
20,,Brookie's Byron Dry Gin Tonica,15,1,300,2,72.33,76
21,,Grifter Pale - Schooner,15,1,117.94,1,33.28,72
22,,Stone & Wood - Pint,14,1,210.26,1,48.97,77
23,,Buffalo Wings,14,1,227.31,1,0,100
24,,On The Rocks,13,1,0,0,0,0
25,,Beetle Juice,13,1,275.91,2,0,100
26,,Sensei Calamari,13,1,236.78,1,0,100
27,,Tomato Dipping Sauce,13,1,1.53,0,0,100
28,,Holy Guacamole,13,1,210.18,1,0,100
29,,Tuckerbush Margie,12,1,256.32,1,0,100
30,,Chicken Shindig Burger,11,1,188.92,1,0,100
31,,Status Quo - Schooner,11,1,129.45,1,29.95,77
32,,Soda [mixer],11,1,0,0,0,0
33,,Fresh is Best Summer Lager - Pint,10,1,116.34,1,19.3,83
34,,Fish Tacos,10,1,182.04,1,0,100
35,,Coconut Margarita,10,1,211.79,1,0,100
36,,Grifter Pale - Pint,10,1,98.14,1,29.75,70
37,,Bombay Dry [House],10,1,100,1,18.1,82
38,,Petits Detours Rosé - Regular,10,1,160.81,1,46.99,71
39,,Fresh is Best Summer Lager - Schooner,9,1,76.22,0,12.95,83
40,,Rosemary Salted Fries,9,1,109.22,1,0,100
41,,Fancy Pants Parmy,8,1,235.5,1,0,100
42,,Sweet Potato Fries,8,1,105.36,1,0,100
43,,San Pellegrino 500ml,8,1,30.41,0,16.48,46
44,,Fresh Lime Soda,8,1,24.1,0,0,100
45,,BBQ Dipping Sauce,8,1,0.51,0,0,100
46,,Heaps Normal Tin,7,0,42.18,0,17.22,59
47,,Pepsi Max Glass,7,0,28.21,0,0,100
48,,Trentham Estate Rosé - Regular,7,0,54.2,0,13.05,76
49,,Chicken Burrito,7,0,158.23,1,0,100
50,,United States of Dumplings,7,0,113.09,1,0,100
51,,Sailor Jerry [House],7,0,70,0,0,100
52,,Bang Bang Cauli,7,0,112.55,1,0,100
53,,1 Glass,6,0,0,0,0,0
54,,Lemonade Glass,6,0,24.07,0,0,100
55,,Cheesy Garlic Bread,6,0,36.71,0,0,100
56,,Large Margherita,6,0,124.75,1,0,100
57,,Stow Schnitty,6,0,157.33,1,0,100
58,,Large Meatlovers,6,0,136,1,0,100
59,,"Regular No Chorizo, No Cry [Dine-in]",6,0,139.6,1,0,100
60,,Delivery Fee - Freshwater / Queenscliff,6,0,20,0,0,100
61,,Redbreast 12yr,6,0,108,1,0,100
62,,Large Super House Special,6,0,143.51,1,0,100
63,,Negroni,6,0,104.41,1,0,100
64,,Lime,6,0,0,0,0,0
65,,Kuku Sauvignon Blanc - Regular,6,0,78,0,15.58,80
66,,Fizz 'N' Chips,6,0,170.4,1,0,100
67,,Send Kids Food ASAP,6,0,0,0,0,0
68,,Rooster Rojo Blanco Tequila [House],6,0,60,0,0,100
69,,Buffalo Wings D,5,0,70.53,0,0,100
70,,Casa Gheller Prosecco - Glass,5,0,80,0,17.9,78
71,,Orange,5,0,0,0,0,0
72,,Jalapeño Edamame,5,0,48.81,0,0,100
73,,Regular Uber Margherita [Dine-in],5,0,101.02,1,0,100
74,,Beef Burrito,5,0,131.78,1,0,100
75,,Hill People Oat Cream - Pint,5,0,90,1,22.34,75
76,,Family Super House Special,5,0,144.14,1,0,100
77,,Regular Little Italy [Dine-in],4,0,88.76,1,0,100
78,,Brownie D,4,0,32.84,0,0,100
79,,Family Meatlovers,4,0,112.48,1,0,100
80,,Spaghetti Bolognese D,4,0,22,0,0,100
81,,Regular Hail Africa [Dine-in],4,0,92.78,1,0,100
82,,Regular Pepperoni,4,0,68,0,0,100
83,,Tallows Dancer,4,0,80,0,0,100
84,,Kids Spag Bol,4,0,52.7,0,0,100
85,,Large BBQ Chicken Pizza,4,0,89.38,1,0,100
86,,Version Two Pinot Grigio - Regular,4,0,48.21,0,6.42,87
87,,Regular Meatlovers,4,0,68.34,0,0,100
88,,Old Panther - Schooner,4,0,49.4,0,10.4,79
89,,Add Olives,4,0,4,0,0,100
90,,Family Hawaiian,4,0,76.82,0,0,100
91,,Pink Lemonade Glass,4,0,18.24,0,0.5,97
92,,Vinada Sparkling Rose,4,0,44.76,0,0,100
93,,Large Uber Margherita,4,0,84.33,0,0,100
94,,Family Margherita,4,0,96.39,1,0,100
95,,Add Parmesan,4,0,0,0,0,0
96,,Family Cosmopolitan,4,0,114.48,1,0,100
97,,Regular Margherita,4,0,59.06,0,0,100
98,,Version Two Sparkling - Regular,4,0,48,0,6.42,87
99,,Status Quo - Pint,3,0,48.56,0,10.95,77
100,,Ottelia Chardonnay - Regular,3,0,45.25,0,9.44,79
101,,Hard Yuzu Solo,3,0,36.61,0,0,100
102,,Coke Can,3,0,12.42,0,4.41,64
103,,Late Night Dial,3,0,67.12,0,0,100
104,,Large Half Half,3,0,57,0,0,100
105,,Large House Special,3,0,63.36,0,0,100
106,,Niseko Baller,3,0,67.13,0,0,100
107,,Family House Special,3,0,52.44,0,0,100
108,,Regular Roma Special,3,0,53.37,0,0,100
109,,Asahi 3.5%,3,0,27,0,6.54,76
110,,Lychee Martini,3,0,58,0,0,100
111,,Add Jalapenos,3,0,3,0,0,100
112,,BBQ Wings,3,0,45.52,0,0,100
113,,Pepsi Glass,3,0,12.14,0,0,100
114,,Large Mexicana,3,0,70.47,0,0,100
115,,Rocket Man,3,0,54.62,0,0,100
116,,Ginger Ale,3,0,12.07,0,0,100
117,,Fish Tacos D,3,0,54,0,0,100
118,,Regular Uber Margherita,3,0,51,0,0,100
119,,Crankshaft IPA - Pint,3,0,51,0,10.57,79
120,,Two Tonne Riesling - Regular,3,0,48.27,0,10.55,78
121,,Old Panther - Pint,3,0,51,0,10.47,79
122,,Truffle Fries,3,0,45.77,0,0,100
123,,Regular BBQ Chicken Pizza,3,0,51,0,0,100
124,,No Garnish,3,0,0,0,0,0
125,,Swap Fries for Sweet Potato Fries,3,0,6.1,0,0,100
126,,Regular Mexicana,3,0,51,0,0,100
127,,"Large No Chorizo, No Cry",3,0,70.42,0,0,100
128,,Mother's Milk Shiraz - Regular,3,0,45.26,0,8.77,81
129,,Regular Tandoori Chicken,3,0,58,0,0,100
130,,Old Fashioned,3,0,60.68,0,0,100
131,,"Lemon, Lime & Bitters",3,0,13.57,0,0.04,100
132,,No Onion,3,0,0,0,0,0
133,,Jug of Water,3,0,0,0,0,0
134,,Mini Banh Mi,3,0,60.68,0,0,100
135,,Limoncello Spritz,2,0,38.65,0,0,100
136,,Orange Juice Glass,2,0,8,0,0,100
137,,Fries D,2,0,24,0,0,100
138,,Geppetto Pinot Noir - Regular,2,0,30,0,0,100
139,,Belvedere Vodka,2,0,24.4,0,4.73,81
