Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,18,$23.66,$0.00,$0.00,8%,1%,0%
Garlic Bread,11,$39.50,$3.57,$15.62,5%,1%,60%
Regular Margherita,10,$158.00,$14.38,$12.30,4%,4%,92%
Regular Super House Special,8,$174.00,$15.80,$44.22,4%,5%,75%
Regular Little Italy [Dine-in],7,$187.10,$16.98,$33.63,3%,5%,82%
Cheesy Garlic Bread,7,$50.00,$4.57,$12.41,3%,1%,75%
Large Super House Special,7,$148.00,$13.47,$54.04,3%,4%,63%
Large Meatlovers,6,$149.00,$13.56,$41.74,3%,4%,72%
Large Hawaiian,6,$106.00,$9.66,$19.58,3%,3%,82%
Regular New Yorker [Dine-in],5,$123.14,$11.19,$17.93,2%,3%,85%
Regular Paddock,5,$114.00,$10.35,$15.50,2%,3%,86%
Large Margherita,4,$89.00,$8.09,$9.19,2%,2%,90%
Large Sorrento,4,$97.50,$8.85,$28.69,2%,3%,71%
Regular Hawaiian,4,$81.00,$7.36,$4.99,2%,2%,94%
Regular Pepperoni,4,$81.00,$7.36,$8.51,2%,2%,89%
Large Bubba Gump,3,$64.00,$5.82,$16.60,1%,2%,74%
Add Chicken,3,$12.00,$1.08,$0.00,1%,0%,0%
Regular Sanchez [Dine-in],3,$80.56,$7.32,$10.18,1%,2%,87%
Coke Can,3,$12.00,$1.09,$5.67,1%,0%,53%
Gluten-free Base,3,$15.48,$1.38,$12.30,1%,0%,21%
Large Paddock,3,$75.50,$6.87,$15.32,1%,2%,80%
Large New Yorker,3,$57.00,$5.18,$15.03,1%,2%,74%
Regular Hail Africa [Dine-in],3,$83.67,$7.61,$8.74,1%,2%,90%
Large BBQ Chicken Pizza,3,$50.00,$4.54,$12.51,1%,1%,75%
Add Anchovies,3,$6.00,$0.54,$0.00,1%,0%,0%
Large Pepperoni,3,$40.00,$3.64,$13.69,1%,1%,66%
