Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Classic Margarita,27,6,404.97,6,105.04,74
2,,Fresh is Best Lager - Schooner,18,4,115.94,2,32.83,72
3,,Fresh is Best Lager - Pint,17,4,201.23,3,41.59,79
4,,Old Fashioned,12,3,257.4,4,57.2,78
5,,Villa Fresco Sangiovese - Regular,11,2,115.39,2,26.53,77
6,,Version Two Pinot Grigio - Regular,10,2,85.46,1,17.67,79
7,,Negroni,9,2,133.46,2,35.27,74
8,,Side Aioli,9,2,4.54,0,0,100
9,,Lychee Martini,8,2,118.97,2,27.22,77
10,,Espresso Martini,8,2,120.49,2,25.86,79
11,,Grifter Pale - Pint,8,2,72,1,26.64,63
12,,Sensei Calamari,8,2,156.64,2,18.44,88
13,,Online Surcharge,8,2,8.85,0,0,100
14,,Arancini Balls [5pc],7,1,133.58,2,0,100
15,,Rosemary Salted Fries,7,1,90.72,1,12.99,86
16,,Fish Tacos,7,1,142.62,2,15.29,89
17,,Stow Schnitty,7,1,189.14,3,37.28,80
18,,Padrillos Malbec - Regular,6,1,111.56,2,23.2,79
19,,Trentham Estate Rosé - Regular,6,1,52.8,1,12.66,76
20,,Geppetto Pinot Noir - Regular,6,1,89.97,1,21.07,77
21,,Grifter Pale - Schooner,6,1,60,1,14.89,75
22,,Crankshaft IPA - Pint,6,1,105,2,25.81,75
23,,Fresh is Best Summer Lager - Schooner,5.4,1,43.18,1,8.57,80
24,,Jalapeño Marg,5,1,83.56,1,4.05,95
25,,Mulled Wine,5,1,73.5,1,10.17,86
26,,On The Rocks,5,1,0,0,0,0
27,,Stone & Wood - Pint,5,1,85.55,1,21.86,74
28,,Bang Bang Cauli,4,1,69.12,1,11.04,84
29,,Guinness Draught - Schooner,4,1,54,1,14.16,74
30,,Large Meatlovers,4,1,26.9,0,28.95,-8
31,,Sweet Potato Fries,4,1,52.86,1,10.11,81
32,,White Light Pure Vodka [House],4,1,42.9,1,6.08,86
33,,Side BBQ Sauce,4,1,0,0,0,0
34,,Garlic Bread,4,1,10,0,5.68,43
35,,Ottelia Cab Sav - Regular,4,1,68,1,18.43,73
36,,"Regular No Chorizo, No Cry [Dine-in]",3,1,79.72,1,8.02,90
37,,Coke Zero Can,3,1,11.7,0,5.67,52
38,,"Lemon, Lime & Bitters",3,1,15,0,0,100
39,,Beef Burrito,3,1,87.64,1,20.31,77
40,,Lemon Meringue Martini,3,1,51,1,10.51,79
41,,Philter XPA - Pint,3,1,45.98,1,9,80
42,,American Standard Burger,3,1,80.7,1,17.53,78
43,,Stone & Wood - Schooner,3,1,39.43,1,9.78,75
44,,Fresh is Best Summer Lager - Pint,3,1,36,1,6.39,82
45,,Pie,3,1,93.22,1,0,100
46,,Add Anchovies,3,1,6,0,0,100
47,,Flower Child,3,1,66.72,1,8.85,87
48,,Bombay Dry [House],3,1,33,1,6.56,80
49,,Lemonade Glass,3,1,13.5,0,0,100
50,,Philter Pale - Schooner,3,1,28.23,0,0,100
51,,BBQ Wings,3,1,50.7,1,9.41,81
52,,Aperol Spritz,3,1,44.98,1,10.66,76
53,,Beef Cheek,3,1,98.38,2,0,100
54,,Send Kids Food With Mains,2,0,0,0,0,0
55,,Philter XPA - Schooner,2,0,18.5,0,4.47,76
56,,WINGS DEAL,2,0,60,1,0,100
57,,Cauliflower Burrito,2,0,58.74,1,10.28,83
58,,Brownie D,2,0,20,0,3.89,81
59,,Kirin - Schooner,2,0,28.46,0,7.52,74
60,,Regular Pepperoni,2,0,34.8,1,4.6,87
61,,Regular Margherita,2,0,27.8,0,2.8,90
62,,No Cheese [dairy-free],2,0,0,0,0,0
63,,Regular Paddock,2,0,39.8,1,6.48,84
64,,Dry,2,0,0,0,0,0
65,,Amalfi Olives,2,0,23.38,0,0,100
66,,Side Tomato Sauce,2,0,0,0,0,0
67,,Fish Burrito,2,0,58.75,1,11.47,80
68,,Kuku Sauvignon Blanc - Regular,2,0,28,0,5.83,79
69,,Peroni 0%,2,0,18,0,3.71,79
70,,Regular Little Italy [Dine-in],2,0,52.85,1,9.95,81
71,,Olive,2,0,0,0,0,0
72,,Fancy Pants Parmy - Classic,2,0,59.89,1,16.9,72
73,,Vodka Martini,2,0,44,1,6.02,86
74,,Buffalo Wings,2,0,35.58,1,7.8,78
75,,Vegan Cheese [make it dairy-free],2,0,0,0,0,0
76,,Hugo Spritz,2,0,34,1,2.73,92
77,,BBQ Wings D,2,0,0,0,6.27,0
78,,Long Island Iced Tea,2,0,37.7,1,10.08,73
79,,Apple Juice Glass,2,0,10,0,1.32,87
80,,Rocket Man,2,0,36.59,1,6.39,83
81,,Cheesy Garlic Bread,2,0,12,0,3.55,70
82,,Young Henrys Cloudy Cider Can,2,0,24,0,5.64,76
83,,Year Wines 'Zagara' Orange - Regular,2,0,33.06,1,6.84,79
84,,Domaine Gueguen Chablis - Large,2,0,90.96,1,29.82,67
85,,Side Gravy,2,0,3,0,0.67,78
86,,Regular El Patron [Dine-in],2,0,53.7,1,7.58,86
87,,Ottelia Chardonnay - Large,1,0,25,0,5.77,77
88,,Online Rounding,1,0,-0.5,-0,0,-100
89,,2 Glasses,1,0,0,0,0,0
90,,Side Blue Cheese Dip,1,0,1,0,0,100
91,,Stow Soda - Passionfruit,1,0,9,0,0,100
92,,Young Henrys Cider Can D,1,0,6.5,0,2.82,57
93,,No Anchovies,1,0,0,0,0,0
94,,Jalapeños Inside Burrito,1,0,1,0,0,100
95,,Large Bubba Gump,1,0,26.9,0,5.81,78
96,,Regular Hail Africa [Dine-in],1,0,27,0,3,89
97,,Add Prawns,1,0,4,0,0,100
98,,Large BBQ Chicken Pizza,1,0,0,0,4.43,0
99,,Regular Sorrento [Dine-in],1,0,26,0,4.28,84
100,,Side Chipotle Mayo,1,0,1.03,0,0,100
101,,Add Bacon,1,0,4,0,0,100
102,,Large Paddock,1,0,26.9,0,5.36,80
103,,Eggplant Schnitty,1,0,26.85,0,4.27,84
104,,Make it Gluten-free [gf/vg bun w sweet pot. fries],1,0,2,0,0,100
105,,Large Truffalo Soldier,1,0,26.9,0,4.56,83
106,,Add Jalapenos,1,0,1.5,0,0,100
107,,Extra Mozzarella,1,0,2.5,0,0,100
108,,No Mushroom,1,0,0,0,0,0
109,,Fancy Pants Parmy - Mexicali,1,0,35.12,1,0,100
110,,No Chilli,1,0,0,0,0,0
111,,Brownie,1,0,12,0,2.82,76
112,,Regular Meatlovers,1,0,19.9,0,5.18,74
113,,Family Pepperoni,1,0,24.9,0,0,100
114,,Make It A Burrito Bowl [gluten-free],1,0,0,0,0,0
115,,Rocket Man D,1,0,14,0,0,100
116,,A. Rodda Tempranillo - Regular,1,0,18.59,0,5.57,70
117,,Gluten-free El Patron [Dine-in],1,0,31,0,8.81,72
118,,Add Pineapple,1,0,1.5,0,0,100
119,,Cri De Couer Pinot Noir - Large,1,0,48,1,20.72,57
120,,Version Two Pinot Grigio - Large,1,0,19.63,0,2.94,85
121,,Regular New Yorker [Dine-in],1,0,24,0,3.79,84
122,,Kids Hawaiian Pizza,1,0,13,0,0,100
123,,Regular Sanchez VEGAN [Dine-in],1,0,26.85,0,3.22,88
124,,Online Discount,1,0,-18.2,-0,0,-100
125,,Regular Jimmy Jury,1,0,25.9,0,3.51,86
126,,Farmhouse Salad,1,0,0,0,0,0
127,,+$3 Premium Spirit,1,0,3,0,0,100
128,,Family Truffalo Soldier,1,0,29.9,0,0,100
129,,Fresh Lime Soda,1,0,3.5,0,0,100
130,,Ottelia Chardonnay - Regular,1,0,16,0,3.46,78
131,,Pink Lemonade Glass,1,0,4.5,0,0.14,97
132,,Regular Garlic Cheese Pizza,1,0,13.4,0,1.39,90
133,,Regular Super House Special [Dine-in],1,0,26,0,5.54,79
134,,Regular Cosmopolitan,1,0,19.9,0,4.73,76
135,,Gluten-free Meatlovers,1,0,32.9,1,9.62,71
136,,Large Super House Special,1,0,26.9,0,7.73,71
137,,No Salt,1,0,0,0,0,0
138,,Family Super House Special,1,0,29.9,0,0,100
139,,San Pellegrino 500ml,1,0,9.29,0,2.34,75
140,,Large Margherita,1,0,19.9,0,2.58,87
141,,Coconut Margarita,1,0,17,0,3.96,77
142,,Glaetzer Anaperenna Shiraz Cab - Regular,1,0,28.91,0,6.97,76
143,,Dark & Stormy,1,0,15.49,0,3.73,76
144,,Delivery Fee - Freshwater / Queenscliff,1,0,5,0,0,100
145,,Fever-Tree Mediterannean  [mixer],1,0,1.03,0,0,100
146,,Regular Jimmy Jury [Dine-in],1,0,27.89,0,3.51,87
147,,Large Sanchez,1,0,31.9,0,5.77,82
148,,Baked Camembert,1,0,24.9,0,0,100
149,,Regular Sanchez [Dine-in],1,0,26,0,3.56,86
150,,Ginger Ale,1,0,4.13,0,0,100
151,,Regular Super House Special,1,0,25.9,0,5.54,79
152,,Beef Burrito D,1,0,28.9,0,6.77,77
153,,Kids Nuggets & Chips,1,0,13,0,2.22,83
154,,Chicken Shindig Burger,1,0,26.9,0,4.77,82
155,,Regular Hawaiian,1,0,19.9,0,1.25,94
156,,Version Two Sparkling - Regular,1,0,7.23,0,1.77,76
157,,No Onion,1,0,0,0,0,0
158,,Vegan Cheese,1,0,3,0,0,100
159,,$45 FEAST,1,0,45,1,0,100
160,,Lime,1,0,0,0,0,0
161,,Mother's Milk Shiraz - Regular,1,0,15.49,0,3.22,79
162,,Regular Bubba Gump,1,0,19.9,0,4.16,79
163,,Pepsi Max Glass,1,0,4.65,0,0,100
164,,Guinness Draught - Pint,1,0,17.5,0,4.75,73
165,,No Garlic,1,0,0,0,0,0
166,,Large Cosmopolitan,1,0,26.9,0,6.61,75
167,,Four Pillars Rare Dry,1,0,14.98,0,2.45,84
168,,Kirin - Pint,1,0,18.5,0,5.05,73
