Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Stone & Wood - Pint,40,$681.12,$62.10,$175.18,3%,4%,74%
Garlic Bread,32,$70.10,$6.41,$45.44,3%,0%,35%
Classic Margarita,31,$532.61,$48.39,$121.26,3%,3%,77%
Stone & Wood - Schooner,29.4,$385.58,$35.01,$96.00,3%,3%,75%
Fresh is Best Lager - Schooner,29,$236.66,$21.51,$52.90,2%,2%,78%
$2 BBQ Wing,28,$56.39,$5.06,$10.98,2%,0%,81%
Jalapeño Marg,26,$489.76,$44.47,$21.61,2%,3%,96%
Fresh is Best Lager - Pint,25,$301.37,$27.47,$61.16,2%,2%,80%
$2 Buffalo Wing,24,$48.39,$4.36,$11.71,2%,0%,76%
American Standard Burger,22,$472.57,$43.05,$128.57,2%,3%,73%
Version Two Pinot Grigio - Regular,19,$220.79,$20.06,$33.57,2%,1%,85%
Guinness Draught - Pint,18,$313.83,$28.52,$85.48,2%,2%,73%
Fresh Lime Soda,17,$60.18,$5.51,$0.00,1%,0%,0%
Espresso Martini,15,$275.25,$25.05,$48.47,1%,2%,82%
Fish Tacos,15,$303.95,$27.65,$32.77,1%,2%,89%
Regular Margherita,14,$180.90,$16.45,$19.62,1%,1%,89%
Online Surcharge,14,$16.47,$0.00,$0.00,1%,0%,0%
Side Tomato Sauce,14,$0.00,$0.00,$0.00,1%,0%,0%
On The Rocks,14,$0.00,$0.00,$0.00,1%,0%,0%
Lychee Martini,13,$235.13,$21.37,$44.24,1%,2%,81%
Mulled Wine,11,$167.48,$15.18,$22.29,1%,1%,87%
Regular Pepperoni,11,$154.20,$14.03,$25.29,1%,1%,84%
Tommy's Margarita,11,$251.86,$22.88,$51.67,1%,2%,79%
Side Aioli,10,$5.08,$0.54,$0.00,1%,0%,0%
Rosemary Salted Fries,10,$131.94,$11.94,$18.55,1%,1%,86%
Peroni 0%,10,$90.30,$8.23,$18.46,1%,1%,80%
Regular Hawaiian,9,$134.20,$12.19,$11.22,1%,1%,92%
White Light Pure Vodka [House],9,$75.00,$6.83,$13.67,1%,0%,82%
Large Super House Special,9,$177.28,$16.13,$69.51,1%,1%,61%
Sensei Calamari,9,$180.01,$16.34,$20.75,1%,1%,88%
Philter XPA - Pint,9,$117.00,$10.64,$27.00,1%,1%,77%
Pepsi Max Glass,9,$40.95,$3.73,$0.00,1%,0%,0%
Trentham Estate Rosé - Regular,9,$90.46,$8.24,$18.99,1%,1%,79%
Kirin - Pint,8,$149.21,$13.55,$40.46,1%,1%,73%
Side BBQ Sauce,8,$0.00,$0.00,$0.00,1%,0%,0%
Lime,8,$0.00,$0.00,$0.00,1%,0%,0%
Aperol Spritz,8,$130.65,$11.87,$28.42,1%,1%,78%
Large Pepperoni,7,$99.62,$9.05,$33.92,1%,1%,66%
BBQ Wings,7,$119.98,$10.94,$21.96,1%,1%,82%
Fresh is Best Summer Lager - Schooner,7,$60.62,$5.50,$11.12,1%,0%,82%
Grifter Pale - Pint,7,$94.47,$8.58,$23.31,1%,1%,75%
VB Tinnie,7,$63.00,$5.74,$16.35,1%,0%,74%
Sweet Potato Fries,7,$92.69,$8.41,$17.69,1%,1%,81%
Scorched As,7,$143.44,$13.03,$29.18,1%,1%,80%
Regular Meatlovers,7,$131.40,$11.94,$32.41,1%,1%,75%
Large Hawaiian,7,$111.50,$10.13,$22.85,1%,1%,80%
Large Margherita,7,$76.86,$6.98,$18.04,1%,0%,77%
Beetle Juice,7,$159.04,$14.48,$25.60,1%,1%,84%
Regular Super House Special,6,$117.50,$10.67,$33.18,1%,1%,72%
Regular Sanchez [Dine-in],6,$159.43,$14.47,$17.09,1%,1%,89%
Large Meatlovers,6,$95.70,$8.70,$38.80,1%,1%,59%
Arancini Balls [5pc],6,$133.54,$12.13,$0.00,1%,1%,0%
Flower Child,6,$112.90,$10.26,$17.71,1%,1%,84%
Fancy Pants Parmy - Classic,6,$178.76,$16.28,$50.69,1%,1%,72%
Buffalo Wings,6,$107.28,$9.74,$23.41,1%,1%,78%
Kirin - Schooner,6,$84.46,$7.66,$22.62,1%,1%,73%
Philter XPA - Schooner,6,$64.88,$5.92,$13.42,1%,0%,79%
Heaps Normal Tin,6,$66.72,$6.07,$16.02,1%,0%,76%
Bang Bang Cauli,5,$87.23,$7.96,$13.81,0%,1%,84%
Onion Rings,5,$61.57,$5.59,$0.00,0%,0%,0%
Regular Little Italy [Dine-in],5,$131.70,$11.96,$24.88,0%,1%,81%
Brownie D,5,$12.90,$1.17,$9.73,0%,0%,25%
Amalfi Olives,5,$58.65,$5.36,$0.00,0%,0%,0%
Geppetto Pinot Noir - Regular,5,$75.00,$6.80,$17.56,0%,0%,77%
Fresh is Best Summer Lager - Pint,5,$57.60,$5.23,$10.65,0%,0%,82%
Petits Detours Rosé - Regular,5,$81.06,$7.35,$17.39,0%,1%,79%
Add Mushrooms,5,$7.50,$0.70,$0.00,0%,0%,0%
Chicken Burrito,4,$119.42,$10.88,$27.19,0%,1%,77%
Coconut Margarita,4,$86.28,$7.83,$15.91,0%,1%,82%
Island Time,4,$99.17,$9.01,$15.93,0%,1%,84%
Peroni,4,$42.34,$3.84,$10.24,0%,0%,76%
Biscoff Espresso,4,$95.02,$8.63,$12.98,0%,1%,86%
$45 FEAST,4,$180.00,$16.36,$0.00,0%,1%,0%
No Onion,4,$0.00,$0.00,$0.00,0%,0%,0%
BBQ Wings D,4,$16.90,$1.54,$12.55,0%,0%,26%
Corona,4,$43.37,$3.92,$10.29,0%,0%,76%
Kuku Sauvignon Blanc - Large,4,$92.00,$8.36,$19.43,0%,1%,79%
Status Quo - Pint,4,$71.73,$6.53,$16.65,0%,0%,77%
Baked Camembert,4,$101.23,$9.20,$0.00,0%,1%,0%
Regular Hail Africa [Dine-in],4,$111.60,$10.11,$11.98,0%,1%,89%
Large BBQ Chicken Pizza,4,$59.80,$5.44,$17.70,0%,0%,70%
Ottelia Chardonnay - Regular,4,$64.00,$5.80,$13.83,0%,0%,78%
Bombay Dry [House],4,$44.00,$4.00,$8.74,0%,0%,80%
Regular Tandoori Chicken,4,$61.70,$5.61,$10.00,0%,0%,84%
Pepsi Glass,4,$18.15,$1.66,$0.00,0%,0%,0%
Add Chilli,4,$4.03,$0.36,$0.00,0%,0%,0%
Beef Burrito,3,$58.75,$5.35,$20.31,0%,0%,65%
Brownie,3,$36.80,$3.35,$8.47,0%,0%,77%
Regular New Yorker [Dine-in],3,$74.36,$6.75,$11.36,0%,0%,85%
Fish Burrito,3,$89.55,$8.16,$17.20,0%,1%,81%
Jameson Irish Whiskey,3,$37.17,$3.36,$6.17,0%,0%,83%
No Tomato,3,$0.00,$0.00,$0.00,0%,0%,0%
Eggplant Parmy,3,$87.95,$8.01,$0.00,0%,1%,0%
"Lemon, Lime & Bitters",3,$15.50,$1.41,$0.00,0%,0%,0%
No Lettuce,3,$0.00,$0.00,$0.00,0%,0%,0%
