item_id,item_name,base_unit,conflict,recipe_units_seen,note
lightspeed:20445539,Corn Chips [bag],g,false,gx11,
lightspeed:20445566,Mushrooms [4Kg box],g,false,gx26,
lightspeed:20445569,Bocconcini [1Kg],g,false,gx18,
lightspeed:20445571,Fetta [2Kg],g,false,gx12,
lightspeed:20445572,BBQ Sauce [Bottle 946ml],g,false,gx7,
lightspeed:20445579,Basil [Bunch/2.50],g,false,gx10,
lightspeed:20445580,Coriander [bunch],,true,bunchx2,"only ever consumed in bunch, which has no declared conversion"
lightspeed:20445584,Capsicum [1Kg],g,false,gx24,
lightspeed:20445586,Corn [2Kg],g,false,gx12,
lightspeed:20445593,Pumpkin [1kg],g,false,gx6,
lightspeed:20445595,Shallots [Bunch],g,false,gx18,
lightspeed:20445597,Spanish Onion [10Kg],g,false,gx57,
lightspeed:20445598,Sundried Tomato [1Kg],g,false,gx2,
lightspeed:20445599,Anchovies [Tin 690g],g,false,gx6,
lightspeed:20445601,Prawns [Box 7kg],g,false,gx12,
lightspeed:20445603,Chicken [5Kg] [BBQ Chicken Pizza],g,false,gx14,
lightspeed:20445610,Pepperoni [3kg],g,false,gx30,
lightspeed:20445612,Calabrese [1Kg],g,false,gx7,
lightspeed:20445700,Peroni,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445701,Corona,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445702,Better Beer Tin,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445703,Two Bays Pale Ale Can,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445704,VB Tinnie,,true,mlx3|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445705,Asahi 3.5%,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445706,James Boags Light,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445707,Heaps Normal Tin,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445708,Grifter Pink Galah Tin,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445709,Grifter Big Sur IPA Tin,,true,mlx1|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445710,Grifter Omen Stout Tin,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445711,Fellr Watermelon Seltzer Tin,ml,false,mlx2,
lightspeed:20445713,Young Henrys Cloudy Cider Can,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445714,Monteith's Apple Cider Bottle,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20445737,Dom Pérignon Champagne - Bottle,each,false,eax1,
lightspeed:20445807,Never Never Oyster Shell Gin [Bottle],ml,false,mlx3,
lightspeed:20445808,Hendrick's Gin [Bottle],ml,false,mlx2,
lightspeed:20445809,Archie Rose Signature Gin [Bottle],ml,false,mlx1,
lightspeed:20445810,Bombay Sapphire [Bottle],ml,false,mlx4,
lightspeed:20445811,Bombay Dry [Bottle],ml,false,mlx22,
lightspeed:20445812,Wolf Lane Navy Gin [Bottle],ml,false,mlx2,
lightspeed:20445814,Four Pillars Olive Leaf [Bottle],ml,false,mlx4,
lightspeed:20445815,Four Pillars Rare Dry [Bottle],ml,false,mlx4,
lightspeed:20445818,Hartshorn Sheep Whey Vodka [Bottle],ml,false,mlx1,
lightspeed:20445819,Tilde Raw Vodka [Bottle],ml,false,mlx1,
lightspeed:20445821,Grey Goose [Bottle],ml,false,mlx3,
lightspeed:20445822,White Light Pure Vodka [20L],ml,false,mlx13,
