ts,venue,item_id,qty_base,base_unit,direction,reason,source_ref,actor,note
2026-03-21,stow,foodlink:102700,1200.0,g,in,receive,invoice:foodlink:SI4255606,invoice-pipeline,SQUID WHOLE CLEANED LOLIGO
2026-03-26,stow,be-foods:10258,5000.00,g,in,receive,invoice:be_foods:6460344,invoice-pipeline,CHICKEN THIGH (F) S/OFF
2026-03-26,stow,be-foods:10663,62500.000,g,in,receive,invoice:be_foods:6460344,invoice-pipeline,FLOUR - PIZZA FLOUR 12.5KG
2026-03-26,stow,be-foods:10716,5000.00,g,in,receive,invoice:be_foods:6460344,invoice-pipeline,CHICKEN WING 5KG BAG
2026-03-26,stow,be-foods:10796,2000.00,g,in,receive,invoice:be_foods:6460344,invoice-pipeline,PROSCIUTTO SLICED 500G #
2026-03-26,stow,be-foods:11592,1.00,each,in,receive,invoice:be_foods:6460344,invoice-pipeline,ANTIPASTO - BASIL PESTO
2026-03-26,stow,be-foods:11605,1.00,each,in,receive,invoice:be_foods:6460344,invoice-pipeline,ANTIPASTO - CHARGRILLED
2026-03-26,stow,be-foods:12776,5000.00,g,in,receive,invoice:be_foods:6460344,invoice-pipeline,CHICKEN BREAST (F) SLICE
2026-03-26,stow,be-foods:13466,10000.00,g,in,receive,invoice:be_foods:6460344,invoice-pipeline,BACON - CAFE BACON HALF
2026-03-26,stow,be-foods:18264,3.00,each,in,receive,invoice:be_foods:6460344,invoice-pipeline,OIL - CANOLA OIL SPRAY
2026-03-26,stow,be-foods:18809,1.00,each,in,receive,invoice:be_foods:6460344,invoice-pipeline,TOMATOES - TOMATO PASTE
2026-03-26,stow,be-foods:19941,1.00,each,in,receive,invoice:be_foods:6460344,invoice-pipeline,FZ VEGETABLES - IQF CORN
2026-03-26,stow,foodlink:101871,6000,g,in,receive,invoice:foodlink:SI4263274,invoice-pipeline,OLIVES PITTED GREEN 2KG Riviana
2026-03-26,stow,foodlink:102872,1250.00,g,in,receive,invoice:foodlink:SI4263274,invoice-pipeline,TEMPEH 250GM Nutrisoy
2026-03-26,stow,foodlink:103153,2000,g,in,receive,invoice:foodlink:SI4263274,invoice-pipeline,YEAST FRESH 1KG
2026-03-26,stow,gulli:CALABRESE/CASTLE-UC4,4000.000,g,in,receive,invoice:gulli:CI-366411,invoice-pipeline,KRC- Sliced Calabrese Mild Salami 1kg
2026-03-26,stow,gulli:ITAHAMPRSLI5KG-B,1000.000,g,in,receive,invoice:gulli:CI-366411,invoice-pipeline,Italia- Sliced Leg Ham 1kg x 5
2026-03-26,stow,gulli:PB-WSO4-U,1.000,each,in,receive,invoice:gulli:CI-366411,invoice-pipeline,Garlic Bread Bags x 500
2026-03-26,stow,gulli:PIZZABASE-GF-11-B,3.000,each,in,receive,invoice:gulli:CI-366411,invoice-pipeline,"Julian's- Gluten Free Base 11"" x 15"
2026-03-26,stow,gulli:SAPPOL10-B,30000.000,g,in,receive,invoice:gulli:CI-366411,invoice-pipeline,Sapore- Italian Crushed Tomato Polpa Fine Bib 10kg
2026-03-26,stow,gulli:SAUCEHICKORYBBQ-,3.000,each,in,receive,invoice:gulli:CI-366411,invoice-pipeline,Sweet Baby Rays Hickory & Brown Sugar Barbeque
2026-03-26,stow,ilg:395-1021P,700.000,ml,in,receive,invoice:ilg:03666774,invoice-pipeline,CAMPARI APERITIF 25%
2026-03-26,stow,ilg:460-6046,15000.00,ml,in,receive,invoice:ilg:03666774,invoice-pipeline,SOLO 1.25LT
2026-03-26,stow,jun-pacific:BF912590,7,each,in,receive,invoice:jun_pacific:NB10482429,invoice-pipeline,Fresh Ramen Frozen (150gx12pcs) R8
2026-03-26,stow,jun-pacific:HA8204606,3,each,in,receive,invoice:jun_pacific:NB10482429,invoice-pipeline,“S&B” EX Torokeru Curry Flake (Mild)
2026-03-26,stow,jun-pacific:HA8204612,2000,g,in,receive,invoice:jun_pacific:NB10482429,invoice-pipeline,"""S&B"" EX Golden Curry Mid Hot (1kg)"
2026-03-26,stow,jun-pacific:QB8514617,15,each,in,receive,invoice:jun_pacific:NB10482429,invoice-pipeline,“Jun” Marumatsu Vegetable Dumpling 39-41pcs (Vegetable
2026-03-26,stow,jun-pacific:SA81476,2,each,in,receive,invoice:jun_pacific:NB10482429,invoice-pipeline,"""Takaokaya"" 50P (Gold) Roasted Seaweed (Yaki Nori)"
2026-03-26,stow,lightspeed:20445569,2000,g,in,receive,invoice:foodlink:SI4263274,invoice-pipeline,BOCCONCINI TRADITIONAL 1KG
2026-03-26,stow,lightspeed:20445811,4200.000,ml,in,receive,invoice:ilg:03666774,invoice-pipeline,BOMBAY DRY GIN
2026-03-26,stow,lightspeed:20467596,80.000,each,in,receive,invoice:gulli:CI-366411,invoice-pipeline,"Australian Garlic Bread- 9"" x 40"
2026-03-26,stow,lightspeed:22479979,40000.000,g,in,receive,invoice:gulli:CI-366411,invoice-pipeline,Big Cheese- Shredded Mozzarella 2kg
