date,venue,prefix,till,dept,product_name,qty,rev_ex_gst,rev_inc_gst,cost,cost_source,reconciled
2026-07-06,hg,hg,stow,f,Unlimited Dumplings,117.0,2548.3636,2803.2,818.7777,recipe,true
2026-07-06,hg,hg,hg,f,Unlimited Dumplings,32.0,698.1818,768.0,223.9392,recipe,true
2026-07-06,hg,hg,stow,f,Duck Spring Rolls,4.0,59.6091,65.57,0.0,lightspeed,true
2026-07-06,hg,hg,stow,f,BBQ Pork Buns,4.0,54.9909,60.49,14.0,recipe,true
2026-07-06,hg,hg,stow,f,Fried Rice,4.0,54.3636,59.8,11.2968,recipe,true
2026-07-06,hg,hg,stow,f,Dumplings - Prawn Har Gow [GF],3.0,49.6273,54.59,13.2057,recipe,true
2026-07-06,hg,hg,hg,b,River Retreat Pinot Grigio - Regular,4.0,43.6364,48.0,8.04,recipe,true
2026-07-06,hg,hg,hg,b,Pepsi Max Glass,9.0,36.8182,40.5,11.79,recipe,true
2026-07-06,hg,hg,stow,f,Kids Fried Rice,3.0,36.2273,39.85,0.0,lightspeed,true
2026-07-06,hg,hg,hg,b,Lemon Lime Bitters,8.0,32.7273,36.0,8.2152,recipe,true
2026-07-06,hg,hg,hg,b,Classic Margarita,2.0,30.0,33.0,8.3448,recipe,true
2026-07-06,hg,hg,stow,f,Outback Prawn Toast,3.0,29.0909,32.0,11.6688,recipe,true
2026-07-06,hg,hg,stow,f,Popcorn Cauliflower,2.0,26.2909,28.92,1.9222,recipe,true
2026-07-06,hg,hg,hg,b,Kuku Sauv Blanc - Regular,2.0,23.6364,26.0,5.2,recipe,true
2026-07-06,hg,hg,hg,f,Shredded Beef,1.0,23.6364,26.0,0.0,lightspeed,true
2026-07-06,hg,hg,hg,b,Sapporo - 500ml,2.0,23.1818,25.5,7.42,recipe,true
2026-07-06,hg,hg,hg,f,Fried Rice,1.0,21.8182,24.0,2.8242,recipe,true
2026-07-06,hg,hg,stow,f,Mie Goreng,1.0,20.9091,23.0,5.6688,recipe,true
2026-07-06,hg,hg,hg,b,Harry's Lager - Schooner,2.0,17.2727,19.0,3.145,recipe,true
2026-07-06,hg,hg,hg,b,Dragon Soda,2.0,16.3636,18.0,0.1108,recipe,true
2026-07-06,hg,hg,hg,b,Yuzu Orange Soda,2.0,16.3636,18.0,0.0,lightspeed,true
2026-07-06,hg,hg,hg,f,Chicken Karaage,1.0,15.4545,17.0,0.0,lightspeed,true
2026-07-06,hg,hg,hg,b,S&W Pacific Ale - Pint [HG],1.0,15.4545,17.0,0.0,lightspeed,true
2026-07-06,hg,hg,hg,f,Duck Spring Roll,1.0,14.5455,16.0,3.5692,recipe,true
2026-07-06,hg,hg,stow,f,Karaage Chicken,2.0,14.5455,16.0,0.0,lightspeed,true
2026-07-06,hg,hg,stow,f,Veg Spring Rolls,1.0,14.0818,15.49,0.0,lightspeed,true
2026-07-06,hg,hg,hg,f,BBQ Pork Buns,1.0,13.6364,15.0,3.5,recipe,true
2026-07-06,hg,hg,hg,f,Dumplings - Veg Gyoza,1.0,12.7273,14.0,1.9519,recipe,true
2026-07-06,hg,hg,hg,b,Lemonade Glass,3.0,12.2727,13.5,2.4096,recipe,true
2026-07-06,hg,hg,stow,f,Kids Mie Goreng,1.0,12.2,13.42,0.0,lightspeed,true
2026-07-06,hg,hg,stow,f,Dumplings - Beef & Cabbage,1.0,11.8182,13.0,1.4619,recipe,true
2026-07-06,hg,hg,hg,b,S&W Pacific Ale - Schooner [HG],1.0,11.8182,13.0,0.0,lightspeed,true
2026-07-06,hg,hg,hg,b,Lemon Chu-hi,1.0,10.9091,12.0,1.5041,recipe,true
2026-07-06,hg,hg,hg,b,White Light Pure Vodka [House],1.0,10.0,11.0,1.5208,recipe,true
2026-07-06,hg,hg,stow,f,Kids Dumplings - Veg,1.0,7.5091,8.26,0.0,lightspeed,true
2026-07-06,hg,hg,hg,b,Orange Juice Glass,2.0,7.2727,8.0,0.9602,recipe,true
2026-07-06,hg,hg,hg,f,Jasmine Rice,1.0,4.5455,5.0,0.0,lightspeed,true
2026-07-06,hg,hg,hg,b,Pepsi Glass,1.0,4.0909,4.5,1.31,recipe,true
2026-07-06,hg,hg,stow,f,Jasmine Rice,3.0,0.0,0.0,0.0,lightspeed,true
2026-07-06,hg,hg,hg,b,Lime,1.0,0.0,0.0,0.0,lightspeed,true
2026-07-06,hg,hg,hg,b,Soda,1.0,0.0,0.0,0.0,lightspeed,true
2026-07-06,mari,mari,mari,f,Chicken,3.0,8.0,8.8,0.0,lightspeed,true
2026-07-06,mari,mari,mari,f,Chicken.,3.0,5.5818,6.14,0.0,lightspeed,true
2026-07-06,stow,stow,stow,b,Version Two Pinot Grigio - Regular,23.0,240.0,264.0,40.6341,recipe,true
2026-07-06,stow,stow,stow,b,Fresh is Best Lager - Pint,13.0,148.4545,163.3,31.4847,recipe,true
2026-07-06,stow,stow,stow,b,Geppetto Pinot Noir - Regular,14.0,147.7273,162.5,49.168,recipe,true
2026-07-06,stow,stow,stow,b,Aperol Spritz,7.0,106.2909,116.92,24.892,recipe,true
2026-07-06,stow,stow,stow,b,Kirin - Schooner,9.0,102.2364,112.46,34.1721,recipe,true
2026-07-06,stow,stow,stow,b,Padrillos Malbec - Regular,6.0,99.2545,109.18,23.1996,recipe,true
