date,venue,prefix,till,dept,product_name,qty,rev_ex_gst,rev_inc_gst,cost,cost_source,reconciled
2026-01-02,mari,mari,mari,f,Large Margherita,13.0,248.2,273.02,30.2536,recipe,true
2026-01-02,mari,mari,mari,f,Large Hawaiian,7.0,130.6182,143.68,23.2099,recipe,true
2026-01-02,mari,mari,mari,f,Regular Pepperoni,8.0,123.8909,136.28,21.5936,recipe,true
2026-01-02,mari,mari,mari,f,Large Super House Special,6.0,119.4818,131.43,45.7062,recipe,true
2026-01-02,mari,mari,mari,f,Large Bubba Gump,5.0,119.0909,131.0,27.503,recipe,true
2026-01-02,mari,mari,mari,f,Banquet Deal Pizzas,2.0,109.0909,120.0,42.2562,recipe,true
2026-01-02,mari,mari,mari,f,Regular New Yorker [Dine-in],5.0,91.8636,101.05,13.1995,recipe,true
2026-01-02,mari,mari,mari,f,Large Meatlovers,3.0,70.7818,77.86,20.22,recipe,true
2026-01-02,mari,mari,mari,f,Large Tandoori Chicken,3.0,68.5727,75.43,9.5784,recipe,true
2026-01-02,mari,mari,mari,f,Regular Hail Africa [Dine-in],4.0,63.4545,69.8,11.29,recipe,true
2026-01-02,mari,mari,mari,f,Regular Little Italy [Dine-in],3.0,60.3455,66.38,12.4965,recipe,true
2026-01-02,mari,mari,mari,f,"Regular No Chorizo, No Cry [Dine-in]",3.0,55.0727,60.58,7.9245,recipe,true
2026-01-02,mari,mari,mari,f,Large Pepperoni,3.0,54.5455,60.0,13.083,recipe,true
2026-01-02,mari,mari,mari,f,Large New Yorker,2.0,49.9636,54.96,9.9462,recipe,true
2026-01-02,mari,mari,mari,f,Large Sanchez,2.0,49.9182,54.91,11.6748,recipe,true
2026-01-02,mari,mari,mari,f,Large Truffalo Soldier,2.0,45.8364,50.42,10.4,recipe,true
2026-01-02,mari,mari,mari,f,Regular Margherita,3.0,43.6364,48.0,6.0993,recipe,true
2026-01-02,mari,mari,mari,f,Regular Little Italy,2.0,41.8182,46.0,9.5162,recipe,true
2026-01-02,mari,mari,mari,f,Regular Paddock,2.0,41.8182,46.0,8.1676,recipe,true
2026-01-02,mari,mari,mari,f,Regular Meatlovers,2.0,38.5545,42.41,8.6784,recipe,true
2026-01-02,mari,mari,mari,f,Regular BBQ Chicken Pizza,2.0,38.5182,42.37,6.1752,recipe,true
2026-01-02,mari,mari,mari,f,Regular Uber Margherita,2.0,38.5091,42.36,6.6092,recipe,true
2026-01-02,mari,mari,mari,f,Regular Super House Special,2.0,38.1818,42.0,9.2374,recipe,true
2026-01-02,mari,mari,mari,f,Regular Uber Margherita [Dine-in],2.0,36.6727,40.34,5.424,recipe,true
2026-01-02,mari,mari,mari,f,Garlic Bread,8.0,36.3636,40.0,11.9016,recipe,true
2026-01-02,mari,mari,mari,f,Regular Sanchez [Dine-in],2.0,33.8091,37.19,7.8904,recipe,true
2026-01-02,mari,mari,mari,f,"Large No Chorizo, No Cry",1.0,24.9818,27.48,5.4669,recipe,true
2026-01-02,mari,mari,mari,f,Large Paddock,1.0,24.9636,27.46,5.1033,recipe,true
2026-01-02,mari,mari,mari,f,Gluten-free Little Italy,1.0,24.5455,27.0,9.646,recipe,true
2026-01-02,mari,mari,mari,f,Gluten-free Sanchez,1.0,24.5455,27.0,8.534,recipe,true
2026-01-02,mari,mari,mari,f,Gluten-free Sorrento,1.0,24.5455,27.0,8.5484,recipe,true
2026-01-02,mari,mari,mari,f,Large Little Italy,1.0,24.5455,27.0,7.3904,recipe,true
2026-01-02,mari,mari,mari,f,Large Uber Margherita,1.0,24.5455,27.0,4.384,recipe,true
2026-01-02,mari,mari,mari,f,Gluten-free Jimmy Jury [Dine-in],1.0,23.6364,26.0,8.2019,recipe,true
2026-01-02,mari,mari,mari,f,Gluten-free BBQ Chicken Pizza,1.0,22.7273,25.0,7.2979,recipe,true
2026-01-02,mari,mari,mari,f,Gluten-free Bubba Gump,1.0,22.7273,25.0,8.2929,recipe,true
2026-01-02,mari,mari,mari,f,Gluten-free Little Italy [Dine-in],1.0,22.7273,25.0,9.0534,recipe,true
2026-01-02,mari,mari,mari,f,Large Cosmopolitan,1.0,22.7273,25.0,7.041,recipe,true
2026-01-02,mari,mari,mari,f,Large Roma Special,1.0,22.7273,25.0,5.6021,recipe,true
2026-01-02,mari,mari,mari,f,Cheesy Garlic Bread,4.0,22.0182,24.22,7.2108,recipe,true
2026-01-02,mari,mari,mari,f,Regular Sorrento,1.0,21.3,23.43,4.0074,recipe,true
2026-01-02,mari,mari,mari,f,Regular El Patron [Dine-in],1.0,21.2818,23.41,3.7287,recipe,true
2026-01-02,mari,mari,mari,f,Regular Jimmy Jury,1.0,20.9091,23.0,4.214,recipe,true
2026-01-02,mari,mari,mari,f,Regular No Chorizo No Cry Solo Combo,1.0,20.9091,23.0,0.0,lightspeed,true
2026-01-02,mari,mari,mari,f,Regular Sanchez,1.0,20.9091,23.0,4.5378,recipe,true
2026-01-02,mari,mari,mari,f,Regular Sanchez VEGAN,1.0,20.9091,23.0,2.6391,recipe,true
2026-01-02,mari,mari,mari,f,Regular Cosmopolitan,1.0,19.0909,21.0,4.4662,recipe,true
2026-01-02,mari,mari,mari,f,Delivery Fee [Me&U],5.0,18.5,20.35,0.0,lightspeed,true
2026-01-02,mari,mari,mari,f,Regular Sorrento [Dine-in],1.0,18.4909,20.34,3.4149,recipe,true
