supplier,supplier_code,invoice_description,lightspeed_product,cost_per_unit_incl_gst,basis,pack_size,pack_qty,pack_unit,cost_per_base_unit,venue,source_invoice,invoice_date,in_bounds,note
Lightspeed,20681676,Lemonade [mixer],Lemonade [mixer],0.8032,can,1,1,each,,stowaway,bo-ingredient-seed-stowaway,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 20681676
Lightspeed,20681681,Pink Lemonade [mixer],Pink Lemonade [mixer],0.8032,can,1,1,each,,stowaway,bo-ingredient-seed-stowaway,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 20681681
Lightspeed,21020204,Edible Flower [Punnet],Edible Flower [Punnet],11.0000,,1,1,punnet,,stowaway,bo-ingredient-seed-stowaway,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 21020204
Lightspeed,22488995,Avocado [Tray],Avocado [Tray],25.0000,,1,1,tray,,stowaway,bo-ingredient-seed-stowaway,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 22488995
Lightspeed,22493903,Chives [bunch],Chives [bunch],1.7000,,1,1,bunch,,stowaway,bo-ingredient-seed-stowaway,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 22493903
Lightspeed,22507943,Mint [bunch],Mint [bunch],1.3000,,1,1,bunch,,stowaway,bo-ingredient-seed-stowaway,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 22507943
Lightspeed,22893390,Babys Breath [bunch],Babys Breath [bunch],16.0000,,1,1,bunch,,stowaway,bo-ingredient-seed-stowaway,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 22893390
Lightspeed,22898085,Choi Sum [bunch],Choi Sum [bunch],9.0000,,1,1,bunch,,harry_gatos,bo-ingredient-seed-harry_gatos,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 22898085
Lightspeed,22918953,Kutjera Bush Tomato Powder [100g] 100g,Kutjera Bush Tomato Powder [100g],56.0000,,1,100.0,g,,harry_gatos,bo-ingredient-seed-harry_gatos,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 22918953
Lightspeed,22920854,Wattleseed [100g] 100g,Wattleseed [100g],38.5000,,1,100.0,g,,harry_gatos,bo-ingredient-seed-harry_gatos,2026-01-02,yes,BO export cost for a recipe ingredient; ProductID 22920854
