Date,Venue,Sales,Transactions,SalesExGST,Guests,SPH_PerTxn,SPH_PerGuest,AvgGuestsPerTxn
2024-10-23,Marilynas,549.79,18,499.81,,27.77,,
2024-10-23,Marilynas-Uber,26.44,1,24.04,,24.04,,
2024-10-24,Marilynas,827.5,13,752.27,,57.87,,
2024-10-24,Marilynas-Uber,18.3,1,16.64,,16.64,,
2024-10-25,Marilynas,1548.49,44,1407.72,,31.99,,
2024-10-25,Marilynas-Uber,642.81,15,584.37,,38.96,,
2024-10-26,Marilynas,1420.55,30,1291.41,,43.05,,
2024-10-26,Marilynas-Uber,493.32,9,448.47,,49.83,,
2024-10-27,Marilynas,958.39,18,871.26,,48.4,,
2024-10-27,Marilynas-Uber,156.51,3,142.28,,47.43,,
2024-10-29,Marilynas,482.58,16,438.71,,27.42,,
2024-10-29,Marilynas-Uber,275.63,4,250.57,,62.64,,
2024-10-30,Marilynas,775.67,20,705.15,,35.26,,
2024-10-30,Marilynas-Uber,44.76,2,40.69,,20.34,,
2024-10-31,Marilynas,1065.98,26,969.07,,37.27,,
2024-10-31,Marilynas-Uber,1277.5,23,1161.36,,50.49,,
2024-11-01,Marilynas,1375.53,38,1250.48,,32.91,,
2024-11-01,Marilynas-Uber,1259.1,30,1144.64,,38.15,,
2024-11-02,Marilynas,1541.63,36,1401.48,,38.93,,
2024-11-02,Marilynas-Uber,1447.26,39,1315.69,,33.74,,
2024-11-03,Marilynas,1187.93,24,1079.94,,45.0,,
2024-11-03,Marilynas-Uber,1024.12,22,931.02,,42.32,,
2024-11-05,Marilynas,582.6,16,529.64,,33.1,,
2024-11-05,Marilynas-Uber,947.13,26,861.03,,33.12,,
2024-11-06,Marilynas,553.0,13,502.73,,38.67,,
2024-11-06,Marilynas-Uber,497.6,13,452.36,,34.8,,
2024-11-07,Marilynas,691.23,17,628.39,,36.96,,
2024-11-07,Marilynas-Uber,667.58,20,606.89,,30.34,,
2024-11-08,Marilynas,2319.68,64,2108.8,,32.95,,
2024-11-08,Marilynas-Uber,2346.59,56,2133.26,,38.09,,
2024-11-09,Marilynas,1699.65,45,1545.14,,34.34,,
2024-11-09,Marilynas-Uber,2057.29,46,1870.26,,40.66,,
2024-11-10,Marilynas,1128.47,21,1025.88,,48.85,,
2024-11-10,Marilynas-Uber,1083.24,23,984.76,,42.82,,
2024-11-12,Marilynas,626.69,16,569.72,,35.61,,
2024-11-12,Marilynas-Uber,308.25,10,280.23,,28.02,,
2024-11-13,Marilynas,801.1,18,728.27,,40.46,,
2024-11-13,Marilynas-Uber,584.45,12,531.32,,44.28,,
2024-11-14,Marilynas,728.49,20,662.26,,33.11,,
2024-11-14,Marilynas-Uber,760.29,16,691.17,,43.2,,
2024-11-15,Marilynas,1655.52,36,1505.02,,41.81,,
2024-11-15,Marilynas-Uber,2505.46,56,2277.69,,40.67,,
2024-11-16,Marilynas,1889.66,38,1717.87,,45.21,,
2024-11-16,Marilynas-Uber,1537.75,33,1397.95,,42.36,,
