"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20484243,"1800 Coconut [Bottle]",69.62,1.34,1.3,-0.04,-2.99,90.51
20459447,"4 Pines Kolsch Bottle D",2.65,35,35,0,0,92.75
22575956,"818 Tequila Blanco [700ml]",78.33,0.9,1.8,0.9,70.5,140.99
20467569,"A. Rodda Chardonnay - Bottle",30.83,5.32,4.75,-0.57,-17.47,146.44
20464467,"A. Rodda Tempranillo - Bottle",28.31,13.22,12.25,-0.97,-27.37,346.8
20487298,"Alehouse Draught Lager [Keg]",210.69,4.35,5.77,1.42,299.96,1216.19
20487313,"Alehouse Summer Mid [Keg]",182.6,2.8,2.67,-0.13,-23.94,487.65
20484279,"Amaro Montenegro [Bottle]",49.76,1.66,1.45,-0.21,-10.45,72.15
20484282,"Angel's Envy Bourbon [Bottle]",83.85,1.28,1.35,0.07,5.99,113.2
20487270,"Angostura Bitters [200ml]",19.39,4.23,2.07,-2.16,-41.81,40.11
20484285,"Antica Formula Rosso Vermouth [Bottle]",63.36,2.02,1.48,-0.54,-34.34,93.6
20484286,"Aperol [Bottle]",28.06,23.45,32.49,9.04,253.52,911.6
20487949,"Appleton Rum [Bottle]",52.61,1.64,1.7,0.06,3.38,89.44
20484292,"Archie Rose Signature Gin [Bottle]",64.01,1.45,1.45,0,0.03,92.81
20445705,"Asahi 3.5%",2.4,38,19,-19,-45.6,45.6
20484304,"Bacardi Blanca [700ml]",49.61,5.68,6.47,0.79,38.97,320.85
20484685,"Bailey's Irish Cream 1L [Bottle]",54.64,1.42,1.15,-0.27,-14.75,62.84
20484688,"Balvenie 14yr Caribbean Cask [Bottle]",128.45,1,0.9,-0.1,-12.85,115.61
20484935,"Barrel One Coffee Concentrate [Bottle]",7.63,21.85,8.75,-13.1,-99.93,66.76
20484721,"Belvedere Vodka [Bottle]",60.19,0.78,0.45,-0.33,-19.77,27.09
20445702,"Better Beer Tin",2.4,30,34,4,9.6,81.6
20727770,"Bickfords Raspberry Cordial [Bottle]",4.92,0.91,1,0.09,0.46,4.92
20512452,"Bols Genever [Bottle]",45.31,0.5,0.55,0.05,2.27,24.92
20483544,"Bombay Dry [Bottle]",49.37,14.64,8.85,-5.79,-285.9,437.04
20484744,"Bombay Sapphire [Bottle]",48.19,0.75,0.7,-0.05,-2.4,33.73
20484772,"Braulio [Bottle]",39.94,1,1.05,0.05,2,41.94
20484781,"Brookie's Byron Dry [Bottle]",65.97,1.93,1.9,-0.03,-1.89,125.34
20512419,"Brookie's Slow Gin [Bottle]",57.94,0.65,0.75,0.1,5.79,43.46
20484751,"Buffalo Trace Bourbon [Bottle]",52.8,4.11,3.98,-0.13,-6.93,209.94
20485266,"Bundaberg Ginger Beer [750ml]",3.37,16.5,24.95,8.45,28.48,84.08
20485273,"Bunnahabhain 12yr [Bottle]",124.72,0.7,0.1,-0.6,-74.83,12.47
20484753,"Campari [Bottle]",41.55,5.98,3.44,-2.54,-105.66,142.83
20483609,"Carpano Classico [750ml]",25.74,1.86,2.03,0.17,4.4,52.18
20728902,"Casa Gheller Prosecco - Bottle",16.73,30.3,37.6,7.3,122.13,629.05
20485738,"Casamigos Reposado Tequila [Bottle]",108.3,0.41,0.3,-0.11,-12.38,32.49
20487243,"Cazcabel Reposado Tequila [Bottle]",64.44,0.5,0.5,0,0,32.22
