"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20484243,"1800 Coconut [Bottle]",62.96,0.5,0.5,0,0,31.48
23244215,"400 Conejos Mezcal [Bottle]",78.03,2.45,2.45,0,0,191.17
22575956,"818 Tequila Blanco [700ml]",78.33,0.9,0.9,0,0,70.5
20467569,"A. Rodda Chardonnay - Bottle",30.83,0.8,0.8,0,0,24.66
20464467,"A. Rodda Tempranillo - Bottle",27.85,10.4,10.4,0,0,289.64
23114865,"Aether Vodka [Bottle]",58.79,0.75,0.75,0,0,44.09
20487298,"Alehouse Draught Lager [Keg]",213.08,1.22,1.22,0,0,260.17
20487313,"Alehouse Summer Mid [Keg]",184.94,0.64,0.64,0,0,118.36
20484279,"Amaro Montenegro [Bottle]",49.76,1.4,1.4,0,0,69.66
22865362,"Ancho Reyes Chilli Liqueur [Bottle]",68.67,0.13,0.13,0,0,8.93
22082019,"Ancho Reyes Verde [700ml]",71.76,0.95,0.95,0,0,68.17
20487270,"Angostura Bitters [200ml]",20.34,3.09,3.09,0,0,62.87
20484285,"Antica Formula Rosso Vermouth [Bottle]",56.95,1.36,1.36,0,0,77.4
20484286,"Aperol [Bottle]",29.08,1.67,1.67,0,0,48.56
20487949,"Appleton Rum [Bottle]",56.69,1.43,1.43,0,0,81.24
20484292,"Archie Rose Signature Gin [Bottle]",61.54,0.8,0.8,0,0,49.23
20445705,"Asahi 3.5%",2.47,16,16,0,0,39.52
20484304,"Bacardi Blanca [700ml]",50.19,3.09,3.09,0,0,154.94
20484685,"Bailey's Irish Cream 1L [Bottle]",54.96,1.05,1.05,0,0,57.71
20484935,"Barrel One Coffee Concentrate [Bottle]",15.26,10.83,10.83,0,0,165.25
20512731,"Barsol Pisco [Bottle]",78.85,2.05,2.05,0,0,161.64
20484721,"Belvedere Vodka [Bottle]",61.81,0.35,1.35,1,61.81,83.44
20445702,"Better Beer Tin",2.5,26,26,0,0,65
