"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20484243,"1800 Coconut [Bottle]",62.96,0.52,0.5,-0.02,-1.32,31.48
23244215,"400 Conejos Mezcal [Bottle]",78.03,2.19,2.45,0.26,20.62,191.17
22575956,"818 Tequila Blanco [700ml]",78.33,0.85,0.9,0.05,3.92,70.5
20467569,"A. Rodda Chardonnay - Bottle",30.83,1.37,0.8,-0.57,-17.47,24.66
20464467,"A. Rodda Tempranillo - Bottle",27.85,10.07,10.4,0.33,9.28,289.64
23114865,"Aether Vodka [Bottle]",58.79,0.73,0.75,0.02,1.27,44.09
20487298,"Alehouse Draught Lager [Keg]",213.08,1.2,1.22,0.03,5.39,260.17
20487313,"Alehouse Summer Mid [Keg]",184.94,0.63,0.64,0.01,1.61,118.36
20484279,"Amaro Montenegro [Bottle]",49.76,1.45,1.4,-0.05,-2.49,69.66
22865362,"Ancho Reyes Chilli Liqueur [Bottle]",68.67,1.08,0.13,-0.95,-65.06,8.93
22082019,"Ancho Reyes Verde [700ml]",71.76,0.9,0.95,0.05,3.59,68.17
20487270,"Angostura Bitters [200ml]",20.34,2.52,3.09,0.57,11.63,62.87
20484285,"Antica Formula Rosso Vermouth [Bottle]",56.95,1.45,1.36,-0.09,-5.11,77.4
20484286,"Aperol [Bottle]",29.08,-0.43,1.67,2.1,61.19,48.56
20487949,"Appleton Rum [Bottle]",56.69,1.12,1.43,0.32,17.95,81.24
20484292,"Archie Rose Signature Gin [Bottle]",61.54,0.94,0.8,-0.14,-8.78,49.23
20445705,"Asahi 3.5%",2.47,17,16,-1,-2.47,39.52
20484304,"Bacardi Blanca [700ml]",50.19,2.76,3.09,0.32,16.3,154.94
20484685,"Bailey's Irish Cream 1L [Bottle]",54.96,1.12,1.05,-0.07,-3.85,57.71
20484935,"Barrel One Coffee Concentrate [Bottle]",15.26,11.11,10.83,-0.28,-4.24,165.25
20512731,"Barsol Pisco [Bottle]",78.85,2.1,2.05,-0.05,-3.94,161.64
