,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Add-ons - Pizza,19,Stowaway Bar,2026-07-30,,$10.45,$11.32
2,Cocktails - Classic,16,Stowaway Bar,2026-07-30,,$52.73,$58.00
3,Tequila,22,Stowaway Bar,2026-07-30,,$10.00,$11.00
4,Modifiers,17,Stowaway Bar,2026-07-30,,$0.00,$0.00
5,Marilyna's Pizza,19,Stowaway Bar,2026-07-30,,$294.56,$324.00
6,Harry Gatos Food,20,Stowaway Bar,2026-07-30,,$11.82,$13.00
7,Red Wine,22,Stowaway Bar,2026-07-30,,$182.76,$201.00
8,Red Wine,16,Stowaway Bar,2026-07-30,,$13.64,$15.00
9,Small Plates,18,Stowaway Bar,2026-07-30,,$78.82,$86.70
10,Modifiers,21,Stowaway Bar,2026-07-30,,$0.00,$0.00
11,Delivery Kitchen,16,Stowaway Bar,2026-07-30,,$45.45,$50.00
12,Cocktails - Signature,18,Stowaway Bar,2026-07-30,,$13.64,$15.00
13,Cocktails - Signature,19,Stowaway Bar,2026-07-30,,$15.45,$17.00
14,Whisky,17,Stowaway Bar,2026-07-30,,$20.00,$22.00
15,Marilyna's Pizza,20,Stowaway Bar,2026-07-30,,$62.73,$69.00
16,Add-ons - Pizza,18,Stowaway Bar,2026-07-30,,$0.81,$2.35
17,Add-ons - Pizza,20,Stowaway Bar,2026-07-30,,-$9.28,-$8.50
18,None,19,Stowaway Bar,2026-07-30,,$0.00,$0.00
19,Tap Beer,17,Stowaway Bar,2026-07-30,,$89.55,$98.50
20,Sparkling Wine,17,Stowaway Bar,2026-07-30,,$14.55,$16.00
21,Vodka,22,Stowaway Bar,2026-07-30,,$130.00,$143.00
22,Tequila,20,Stowaway Bar,2026-07-30,,$10.00,$11.00
23,Marilyna's Soft Drinks,17,Stowaway Bar,2026-07-30,,$3.64,$4.00
24,Delivery Kitchen,18,Stowaway Bar,2026-07-30,,$111.83,$123.00
25,Add-ons - Kitchen,17,Stowaway Bar,2026-07-30,,$0.91,$1.00
26,Non-alcoholic,16,Stowaway Bar,2026-07-30,,$10.00,$11.00
27,Rose Wine,18,Stowaway Bar,2026-07-30,,$110.90,$122.00
28,Rose Wine,19,Stowaway Bar,2026-07-30,,$92.73,$102.00
29,Cocktails - Signature,17,Stowaway Bar,2026-07-30,,$13.64,$15.00
30,White Wine,22,Stowaway Bar,2026-07-30,,$209.12,$230.00
31,Small Plates,17,Stowaway Bar,2026-07-30,,$15.45,$17.00
32,Big Plates,20,Stowaway Bar,2026-07-30,,$52.54,$57.80
33,Tequila,18,Stowaway Bar,2026-07-30,,$10.00,$11.00
34,Whisky,18,Stowaway Bar,2026-07-30,,$20.00,$22.00
35,Non-alcoholic,19,Stowaway Bar,2026-07-30,,$3.64,$4.00
36,None,17,Stowaway Bar,2026-07-30,,$0.00,$0.00
37,Red Wine,20,Stowaway Bar,2026-07-30,,$31.63,$34.80
38,Sparkling Wine,22,Stowaway Bar,2026-07-30,,$69.10,$76.00
39,Sparkling Wine,18,Stowaway Bar,2026-07-30,,$14.55,$16.00
40,Big Plates,19,Stowaway Bar,2026-07-30,,$118.90,$130.80
41,Tequila,19,Stowaway Bar,2026-07-30,,$13.64,$15.00
42,Non-alcoholic,22,Stowaway Bar,2026-07-30,,$143.05,$157.50
43,Non-alcoholic,18,Stowaway Bar,2026-07-30,,$4.09,$4.50
44,Non-alcoholic,20,Stowaway Bar,2026-07-30,,$45.00,$49.50
45,Marilyna's Pizza,18,Stowaway Bar,2026-07-30,,$445.90,$490.50
46,Kitchen Specials,22,Stowaway Bar,2026-07-30,,"$2,045.46","$2,250.00"
47,Tap Beer,16,Stowaway Bar,2026-07-30,,$104.55,$115.00
48,Rose Wine,22,Stowaway Bar,2026-07-30,,$54.55,$60.00
49,Big Plates,17,Stowaway Bar,2026-07-30,,$24.45,$26.90
50,Kids Meals,22,Stowaway Bar,2026-07-30,,$9.10,$10.00
51,Vodka,21,Stowaway Bar,2026-07-30,,$10.00,$11.00
52,Tap Beer,20,Stowaway Bar,2026-07-30,,$199.31,$219.25
53,Dine-in Pizza,19,Stowaway Bar,2026-07-30,,$48.19,$53.00
54,Tap Beer,18,Stowaway Bar,2026-07-30,,$253.61,$279.00
55,Cocktails - Classic,19,Stowaway Bar,2026-07-30,,$58.18,$64.00
56,Tap Beer,19,Stowaway Bar,2026-07-30,,$119.53,$131.50
57,White Wine,20,Stowaway Bar,2026-07-30,,$10.91,$12.00
58,Small Plates,19,Stowaway Bar,2026-07-30,,$77.72,$85.50
59,Add-ons - Kitchen,19,Stowaway Bar,2026-07-30,,$9.10,$10.00
60,Marilyna's Soft Drinks,18,Stowaway Bar,2026-07-30,,$3.64,$4.00
61,Marilyna's Soft Drinks,19,Stowaway Bar,2026-07-30,,$9.09,$10.00
62,Marilyna's Soft Drinks,20,Stowaway Bar,2026-07-30,,$30.91,$34.00
63,None,18,Stowaway Bar,2026-07-30,,$0.00,$0.00
64,None,22,Stowaway Bar,2026-07-30,,$0.00,$0.00
65,Whisky,21,Stowaway Bar,2026-07-30,,$10.00,$11.00
66,Cocktails - Signature,22,Stowaway Bar,2026-07-30,,$259.15,$285.00
67,Rose Wine,17,Stowaway Bar,2026-07-30,,$10.91,$12.00
68,Modifiers,16,Stowaway Bar,2026-07-30,,$0.00,$0.00
69,Modifiers,20,Stowaway Bar,2026-07-30,,$0.00,$0.00
70,Add-ons - Pizza,17,Stowaway Bar,2026-07-30,,$5.92,$6.37
71,Desserts,22,Stowaway Bar,2026-07-30,,$545.53,$600.00
72,Cocktails - Classic,21,Stowaway Bar,2026-07-30,,$82.73,$91.00
73,Bottles / Cans Alcoholic,22,Stowaway Bar,2026-07-30,,$60.01,$66.00
74,Tap Beer,22,Stowaway Bar,2026-07-30,,$551.85,$607.00
75,Red Wine,18,Stowaway Bar,2026-07-30,,$77.27,$85.00
76,Red Wine,19,Stowaway Bar,2026-07-30,,$62.73,$69.00
77,Marilyna's Pizza,17,Stowaway Bar,2026-07-30,,$98.18,$108.00
78,Dine-in Pizza,18,Stowaway Bar,2026-07-30,,$97.29,$107.00
79,Dine-in Pizza,20,Stowaway Bar,2026-07-30,,$48.19,$53.00
80,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-07-30,,$19.10,$21.00
81,Gin,22,Stowaway Bar,2026-07-30,,$60.00,$66.00
82,Cocktails - Classic,22,Stowaway Bar,2026-07-30,,$64.54,$71.00
83,Cocktails - Classic,20,Stowaway Bar,2026-07-30,,$27.28,$30.00
84,Bottles / Cans Alcoholic,20,Stowaway Bar,2026-07-30,,$11.37,$12.50
85,Modifiers,19,Stowaway Bar,2026-07-30,,$0.00,$0.00
86,Delivery Kitchen,17,Stowaway Bar,2026-07-30,,$14.55,$16.00
87,Harry Gatos Food,17,Stowaway Bar,2026-07-30,,$30.00,$33.00
88,Add-ons - Kitchen,18,Stowaway Bar,2026-07-30,,$1.35,$1.50
89,White Wine,18,Stowaway Bar,2026-07-30,,$54.56,$60.00
90,White Wine,19,Stowaway Bar,2026-07-30,,$92.72,$102.00
