date,shop,sales_inc_gst,payout_inc_gst,commission_inc_gst,offers_inc_gst,refund_inc_gst,source,orders
2026-07-13,hg,67.50,45.22,22.28,0.00,0.00,ubereats_portal,
2026-07-13,mari,0.00,-37.47,0.00,37.47,0.00,ubereats_portal,
2026-07-14,mari,576.50,336.52,181.70,42.28,16.00,ubereats_portal,
2026-07-15,hg,111.50,74.73,36.77,0.00,0.00,ubereats_portal,
2026-07-15,mari,430.00,278.29,137.50,14.21,0.00,ubereats_portal,
2026-07-16,hg,38.00,25.46,12.54,0.00,0.00,ubereats_portal,
2026-07-16,mari,609.00,350.55,179.52,78.93,0.00,ubereats_portal,
2026-07-17,hg,89.00,59.63,29.37,0.00,0.00,ubereats_portal,
2026-07-17,mari,1576.50,944.80,477.38,154.32,0.00,ubereats_portal,
2026-07-18,hg,248.50,166.49,82.01,0.00,0.00,ubereats_portal,
2026-07-18,mari,996.50,618.09,281.49,96.92,0.00,ubereats_portal,
2026-07-19,hg,0.00,-2.00,0.00,0.00,2.00,ubereats_portal,
2026-07-19,mari,396.65,209.58,122.32,64.75,0.00,ubereats_portal,
2026-07-20,hg,190.00,72.30,62.70,0.00,55.00,ubereats_portal,
2026-07-20,mari,0.00,-29.10,0.00,29.10,0.00,ubereats_portal,
2026-07-21,mari,291.00,156.85,87.46,46.69,0.00,ubereats_portal,
2026-07-22,hg,47.00,31.50,15.50,0.00,0.00,ubereats_portal,
2026-07-22,mari,299.00,170.68,85.69,42.63,0.00,ubereats_portal,
2026-07-23,hg,212.50,142.37,70.13,0.00,0.00,ubereats_portal,
2026-07-23,mari,360.00,291.13,47.52,21.35,0.00,ubereats_portal,
2026-07-24,hg,377.00,252.58,124.42,0.00,0.00,ubereats_portal,
2026-07-24,mari,1484.00,993.32,351.43,118.25,21.00,ubereats_portal,
2026-07-25,hg,288.50,193.29,95.21,0.00,0.00,ubereats_portal,
2026-07-25,mari,1827.50,1318.12,368.30,141.08,0.00,ubereats_portal,
2026-07-26,mari,461.65,307.08,88.34,66.23,0.00,ubereats_portal,
2026-07-27,hg,91.00,23.97,30.03,0.00,37.00,ubereats_portal,
2026-07-27,mari,0.00,-32.59,0.00,32.59,0.00,ubereats_portal,
2026-07-28,mari,82.00,34.77,27.06,20.17,0.00,ubereats_portal,
2026-07-29,hg,122.50,82.09,40.41,0.00,0.00,ubereats_portal,
2026-07-29,mari,350.00,268.75,58.12,23.13,0.00,ubereats_portal,
2026-07-30,hg,74.50,69.58,4.92,0.00,0.00,ubereats_portal,
2026-07-30,mari,502.50,372.82,88.75,40.93,0.00,ubereats_portal,
2026-07-31,hg,290.00,202.47,87.53,0.00,0.00,ubereats_portal,
2026-07-31,mari,1191.90,676.19,267.91,234.90,12.90,ubereats_portal,
2026-08-01,hg,362.00,262.20,99.80,0.00,0.00,ubereats_portal,
2026-08-01,mari,1091.00,685.86,249.38,155.76,0.00,ubereats_portal,
2026-08-02,mari,536.00,305.79,148.82,81.39,0.00,ubereats_portal,
2026-08-03,hg,139.50,93.46,46.04,0.00,0.00,ubereats_portal,3
2026-08-03,mari,0.00,-30.75,0.00,30.75,0.00,ubereats_portal,0
2026-08-04,mari,100.00,38.06,22.31,39.63,0.00,ubereats_portal,2
2026-08-05,hg,58.50,39.22,19.28,0.00,0.00,ubereats_portal,2
2026-08-05,mari,62.50,46.80,15.70,0.00,0.00,ubereats_portal,2
2026-08-06,hg,195.50,130.98,64.52,0.00,0.00,ubereats_portal,2
2026-08-06,mari,454.00,247.17,119.06,87.77,0.00,ubereats_portal,7
2026-08-07,hg,360.00,241.19,118.81,0.00,0.00,ubereats_portal,5
2026-08-07,mari,1676.90,1059.95,391.07,225.88,0.00,ubereats_portal,30
2026-08-08,hg,138.00,92.46,45.54,0.00,0.00,ubereats_portal,2
2026-08-08,mari,1535.00,908.43,467.04,145.53,14.00,ubereats_portal,26
2026-08-09,mari,440.45,263.18,93.28,83.99,0.00,ubereats_portal,7
