date,shop,fee_inc_gst,source
2026-06-05,mari,40.60,uber_direct_portal
2026-06-06,mari,15.05,uber_direct_portal
2026-06-10,mari,24.36,uber_direct_portal
2026-06-12,mari,27.02,uber_direct_portal
2026-06-13,mari,61.02,uber_direct_portal
2026-06-14,mari,14.92,uber_direct_portal
2026-06-16,mari,15.62,uber_direct_portal
2026-06-20,mari,16.30,uber_direct_portal
2026-06-26,mari,15.20,uber_direct_portal
2026-06-27,mari,24.15,uber_direct_portal
2026-06-30,mari,64.62,uber_direct_portal
2026-07-01,mari,48.53,uber_direct_portal
2026-07-02,mari,15.14,uber_direct_portal
2026-07-04,mari,137.00,uber_direct_portal
2026-07-05,mari,62.74,uber_direct_portal
2026-07-08,mari,25.40,uber_direct_portal
2026-07-10,mari,14.92,uber_direct_portal
2026-07-11,mari,71.25,uber_direct_portal
2026-07-12,mari,14.39,uber_direct_portal
2026-07-15,mari,49.98,uber_direct_portal
2026-07-16,mari,13.18,uber_direct_portal
2026-07-17,mari,15.23,uber_direct_portal
2026-07-18,mari,28.75,uber_direct_email
2026-07-24,mari,68.78,uber_direct_portal
2026-07-26,mari,25.50,uber_direct_portal
2026-07-30,mari,13.51,uber_direct_portal
2026-07-31,mari,13.08,uber_direct_portal
2026-08-01,mari,44.86,uber_direct_portal
2026-08-02,mari,72.95,uber_direct_portal
2026-08-07,mari,31.29,uber_direct_portal
2026-08-08,mari,42.55,uber_direct_portal
2026-08-09,mari,44.23,uber_direct_portal
2026-08-12,mari,15.47,uber_direct_portal
2026-08-13,mari,14.14,uber_direct_portal
2026-08-14,mari,49.86,uber_direct_portal
2026-08-15,mari,84.53,uber_direct_portal
2026-08-21,mari,28.99,uber_direct_portal
