month,group_overheads_ex_rent,stow_overheads,hg_overheads,mari_overheads,mari_uber_fees,mari_uber_only,meu_fees,stock_movement,leave_provision,group_cos_ex_misc,group_payroll,group_finance
2024-10,,,,,7311.85,5802.05,3726.56,,,,,
2024-11,,,,,7282.91,5780.58,5523.85,,,,,
2024-12,,,,,9890.66,7630.8,4707.55,,,,,
2025-01,,,,,8184.86,5729.94,4595.53,,,,,
2025-02,,,,,8204.74,5560.5,3670.75,,,,,
2025-03,,,,,13990.88,7988.63,3894.58,,,,,
2025-04,,,,,10874.64,7178.08,4515.77,,,,,
2025-05,,,,,10535.38,7192.07,3925.78,,,,,
2025-06,,,,,14485.56,9684.59,372.39,,,,,
2025-07,,,,,8615.57,6195.06,4507.27,,,,,
2025-08,,,,,12919.37,9660.65,3824.0,,,,,
2025-09,,,,,12933.48,8830.65,3790.65,,,,,
2025-10,,,,,13453.08,8515.3,3904.81,,,,,
2025-11,,,,,15900.62,10660.21,3628.31,,,,,
2025-12,,,,,13567.55,8810.06,3952.23,,,,,
2026-01,,,,,9960.0,6734.26,3249.33,,,,,
2026-02,,,,,8899.42,6714.27,2886.54,,,,,
2026-03,,,,,10473.17,8693.09,3018.83,,,,,
2026-04,31088.1,32393.79,11866.77,7072.54,9734.97,9025.07,3279.46,10714.91,0.0,94339.59,128562.8,7653.5
2026-05,70190.68,58045.09,20195.61,12194.98,11213.03,10667.08,4682.9,0.0,10930.14,99090.94,141331.47,5839.42
2026-06,30659.07,32112.35,11775.38,7016.34,8609.57,7695.23,3265.18,0.0,0.0,85911.56,154162.38,3715.37
2026-07,11177.19,12945.14,5087.84,3593.24,2189.12,1938.64,218.0,0.0,0.0,29191.62,56921.66,1963.17
